acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.9624302225928242,0.9590948917007968,0.9666666666666667,0.9972222222222222,0.9629629629629629,0.975,0.9487179487179487,0.925,0.975609756097561,1.0,1.0,"[[39, 1, 0], [2, 37, 1], [0, 0, 20]]",raw1d,0,0,27075,45.17845720000332,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9987499999999999,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",spec2d,0,0,32227,11.878171199990902,
0.96,0.9581092349385032,0.9586883876357559,0.9583333333333334,0.9974305555555555,0.975609756097561,1.0,0.9487179487179487,0.925,0.95,0.95,0.95,"[[40, 0, 0], [2, 37, 1], [0, 1, 19]]",raw1d_wide,0,0,99795,129.8005109000078,
0.91,0.9165220744168113,0.9282296650717704,0.9083333333333333,0.9906944444444444,0.9047619047619048,0.95,0.8974358974358975,0.875,0.9473684210526315,0.9,0.9,"[[38, 2, 0], [5, 35, 0], [1, 1, 18]]",spec2d_wide,0,0,97775,15.255013100002543,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9994444444444444,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,0,0,98571,49.62866519999807,
0.95,0.953934953934954,0.9606879606879607,0.9499999999999998,0.9908333333333333,0.9523809523809523,1.0,0.935064935064935,0.9,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [4, 36, 0], [0, 1, 19]]",gated,0,0,98698,40.52392069999769,
0.95,0.9582746570698378,0.9599832390530065,0.9583333333333334,0.9895833333333334,0.9397590361445783,0.975,0.935064935064935,0.9,1.0,1.0,1.0,"[[39, 1, 0], [4, 36, 0], [0, 0, 20]]",attention,0,0,98544,36.324775800007046,
0.93,0.933247822136711,0.9272887077765127,0.9416666666666668,0.9930555555555555,0.9382716049382716,0.95,0.9090909090909091,0.875,0.9523809523809523,1.0,1.0,"[[38, 2, 0], [3, 35, 2], [0, 0, 20]]",early,0,0,97507,22.231761800008826,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9987499999999999,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",score,0,0,59302,0.07447199999296572,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7473611111111111,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,3,0.06930689999717288,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9971527777777777,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,21,0.02278200000000652,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9995833333333333,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",raw1d,0,1,27075,46.0936914000049,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9979166666666667,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",spec2d,0,1,32227,7.950593500005198,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,1,99795,107.60698350000894,
0.95,0.953934953934954,0.9606879606879607,0.9499999999999998,0.998611111111111,0.9523809523809523,1.0,0.935064935064935,0.9,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [4, 36, 0], [0, 1, 19]]",spec2d_wide,0,1,97775,17.248681900004158,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",late,0,1,98571,35.86639229999855,
0.99,0.9876505094164866,0.9841269841269842,0.9916666666666667,1.0,1.0,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[40, 0, 0], [0, 39, 1], [0, 0, 20]]",gated,0,1,98698,49.15642509999452,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9990972222222222,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",attention,0,1,98544,58.767552400007844,
