model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
score,0.9723498104160798,0.01798315480778815,0.9968388888888888,0.003752202713841727,0.9712000000000001,0.976,59302,0.10030225200112909,25
late,0.966621029952031,0.020309316590183375,0.9975611111111111,0.0022235166947359654,0.966,0.96,98571,54.762957267998715,25
gated,0.9663460010089847,0.018194340693131986,0.9976166666666667,0.002746475832959171,0.9652,0.97,98698,63.01945444000245,25
spec2d,0.9649000897597338,0.02204998347168658,0.9964583333333333,0.003975504908145779,0.9632,0.976,32227,13.306726428000257,25
attention,0.9615810454179682,0.01705336877223095,0.9946944444444444,0.004318696344648916,0.9608,0.9640000000000001,98544,56.28925423200067,25
spec2d_wide,0.9609367063093558,0.025428258885602878,0.9967916666666666,0.0031104987616612525,0.9592,0.968,97775,24.562849875999962,25
early,0.958314196403363,0.03138173883949545,0.9959194444444444,0.005493588141995018,0.9575999999999999,0.97,97507,28.68394970799971,25
raw1d,0.9574802172787967,0.01706814723078932,0.995625,0.00476378259518603,0.9567999999999999,0.96,27075,48.04997265199956,25
shallow,0.9535919042697748,0.0160673550133333,0.99645,0.0022253233570000077,0.9544,0.96,21,0.02746595200151205,25
raw1d_wide,0.9513003224747905,0.02621120633376924,0.9947027777777778,0.006334990544229187,0.95,0.95,99795,126.76963648399979,25
logvar,0.6459623685293988,0.04137404361514463,0.7548305555555556,0.01960657112227529,0.598,0.972,3,0.03264140799990855,25
