acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,27075,55.58920549999675,
0.93,0.9325556706700944,0.9326599326599326,0.9416666666666668,0.9972222222222222,0.9411764705882353,1.0,0.9041095890410958,0.825,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [5, 33, 2], [0, 0, 20]]",spec2d,0,0,32227,12.288067299999966,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9968055555555555,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,99795,121.75194140000167,
0.91,0.9165220744168113,0.9282296650717704,0.9083333333333333,0.9905555555555555,0.9047619047619048,0.95,0.8974358974358975,0.875,0.9473684210526315,0.9,0.9,"[[38, 2, 0], [5, 35, 0], [1, 1, 18]]",spec2d_wide,0,0,97775,19.036433500001294,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9982638888888888,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",late,0,0,98571,48.415951800001494,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.998611111111111,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",gated,0,0,98698,58.164636900000914,
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9991666666666666,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",attention,0,0,98544,46.217198599995754,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9945833333333333,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",early,0,0,97507,23.50925200000347,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9977777777777778,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",score,0,0,59302,0.0896299000014551,0.775
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7473611111111111,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,3,0.07768380000197794,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9971527777777777,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,21,0.027643999994324986,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",raw1d,0,1,27075,41.79406890000246,
0.95,0.9582746570698378,0.9599832390530065,0.9583333333333334,0.9979166666666667,0.9397590361445783,0.975,0.935064935064935,0.9,1.0,1.0,1.0,"[[39, 1, 0], [4, 36, 0], [0, 0, 20]]",spec2d,0,1,32227,10.752386899999692,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9997916666666667,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,0,1,99795,109.02751069999795,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9983333333333334,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",spec2d_wide,0,1,97775,30.91821869999694,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",late,0,1,98571,70.37863859999925,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",gated,0,1,98698,65.27971400000388,
0.99,0.9876505094164866,0.9841269841269842,0.9916666666666667,1.0,1.0,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[40, 0, 0], [0, 39, 1], [0, 0, 20]]",attention,0,1,98544,60.07231250000041,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9998611111111111,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",early,0,1,97507,23.20397740000044,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",score,0,1,59302,0.08543840000493219,1.0
0.61,0.6477588699810922,0.63012912482066,0.6749999999999999,0.7744444444444444,0.5679012345679012,0.575,0.4864864864864865,0.45,0.8888888888888888,1.0,1.0,"[[23, 16, 1], [18, 18, 4], [0, 0, 20]]",logvar,0,1,3,0.02617889999964973,
0.98,0.9755799755799757,0.9696969696969697,0.9833333333333334,1.0,1.0,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [0, 38, 2], [0, 0, 20]]",shallow,0,1,21,0.025403599996934645,
0.96,0.9544005126660954,0.9513519571285939,0.9583333333333334,0.9926388888888887,0.9876543209876543,1.0,0.9487179487179487,0.925,0.926829268292683,0.95,0.95,"[[40, 0, 0], [1, 37, 2], [0, 1, 19]]",raw1d,0,2,27075,38.781072899997525,
0.98,0.9749986977131844,0.9752032520325203,0.975,0.999375,0.9876543209876543,1.0,0.9873417721518988,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [1, 0, 19]]",spec2d,0,2,32227,12.855551599997852,
0.97,0.9619104146881924,0.9659927257167308,0.9583333333333334,0.9904166666666666,0.9876543209876543,1.0,0.975,0.975,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [0, 39, 1], [1, 1, 18]]",raw1d_wide,0,2,99795,158.6455167000022,
0.96,0.9585261621846989,0.9595238095238096,0.9583333333333334,0.9989583333333334,0.9743589743589743,0.95,0.9512195121951219,0.975,0.95,0.95,0.95,"[[38, 2, 0], [0, 39, 1], [0, 1, 19]]",spec2d_wide,0,2,97775,20.36621799999557,
0.96,0.9535706652100601,0.9580361159308527,0.9500000000000001,0.99625,0.975609756097561,1.0,0.9620253164556962,0.95,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [1, 38, 1], [1, 1, 18]]",late,0,2,98571,44.797326100000646,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.9981944444444445,0.9873417721518988,0.975,0.9629629629629629,0.975,0.95,0.95,0.95,"[[39, 1, 0], [0, 39, 1], [0, 1, 19]]",gated,0,2,98698,54.72628799999802,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.9963194444444444,0.9873417721518988,0.975,0.9629629629629629,0.975,0.95,0.95,0.95,"[[39, 1, 0], [0, 39, 1], [0, 1, 19]]",attention,0,2,98544,58.88750729999447,
0.94,0.9419799498746867,0.9454545454545453,0.9416666666666668,0.991875,0.9473684210526315,0.9,0.9285714285714286,0.975,0.95,0.95,0.95,"[[36, 4, 0], [0, 39, 1], [0, 1, 19]]",early,0,2,97507,43.94623120000324,
0.98,0.9749986977131844,0.9752032520325203,0.975,0.999375,0.9876543209876543,1.0,0.9873417721518988,0.975,0.95,0.95,0.95,"[[40, 0, 0], [0, 39, 1], [1, 0, 19]]",score,0,2,59302,0.09243710000009742,0.0
0.6,0.65,0.65,0.65,0.7381944444444444,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,3,0.026871599999140017,
0.94,0.9382324992081089,0.9365079365079364,0.9416666666666668,0.9943055555555556,0.961038961038961,0.925,0.926829268292683,0.95,0.926829268292683,0.95,0.95,"[[37, 3, 0], [0, 38, 2], [0, 1, 19]]",shallow,0,2,21,0.025160700002743397,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9944444444444445,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",raw1d,0,3,27075,36.37376999999833,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9961111111111111,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",spec2d,0,3,32227,17.550051000005624,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9966666666666667,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,3,99795,177.2878264999963,
0.97,0.970752824411361,0.9682539682539683,0.975,0.9963888888888889,0.975609756097561,1.0,0.961038961038961,0.925,0.975609756097561,1.0,1.0,"[[40, 0, 0], [2, 37, 1], [0, 0, 20]]",spec2d_wide,0,3,97775,26.13651910000044,
0.98,0.9792076838147299,0.9759969028261711,0.9833333333333334,0.9984722222222221,0.9876543209876543,1.0,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,"[[40, 0, 0], [1, 38, 1], [0, 0, 20]]",late,0,3,98571,48.7092180000036,
0.95,0.9387674153403739,0.9608621667612024,0.9250000000000002,0.9959722222222221,0.9876543209876543,1.0,0.9397590361445783,0.975,0.8888888888888888,0.8,0.8,"[[40, 0, 0], [1, 39, 0], [0, 4, 16]]",gated,0,3,98698,45.37198530000023,
0.97,0.9665598791477835,0.9666562434855118,0.9666666666666667,0.9939583333333332,0.9876543209876543,1.0,0.9620253164556962,0.95,0.95,0.95,0.95,"[[40, 0, 0], [1, 38, 1], [0, 1, 19]]",attention,0,3,98544,44.79980490000162,
0.95,0.9539647344525393,0.9513084513084514,0.9583333333333334,0.995,0.9512195121951219,0.975,0.935064935064935,0.9,0.975609756097561,1.0,1.0,"[[39, 1, 0], [3, 36, 1], [0, 0, 20]]",early,0,3,97507,27.08208410000225,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9961111111111111,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",score,0,3,59302,0.07647659999929601,0.0
0.6,0.6483709273182957,0.6484848484848484,0.65,0.7502777777777778,0.5714285714285714,0.6,0.47368421052631576,0.45,0.9,0.9,0.9,"[[24, 16, 0], [20, 18, 2], [0, 2, 18]]",logvar,0,3,3,0.02521379999961937,
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9955555555555556,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,21,0.025596300001780037,
0.92,0.9211290001987678,0.9317315026697178,0.9166666666666666,0.9977083333333333,0.9333333333333333,0.875,0.9069767441860465,0.975,0.9230769230769231,0.9,0.9,"[[35, 5, 0], [0, 39, 1], [0, 2, 18]]",raw1d,0,4,27075,80.79060780000145,
0.97,0.970752824411361,0.9682539682539683,0.975,0.9941666666666666,0.961038961038961,0.925,0.975609756097561,1.0,0.975609756097561,1.0,1.0,"[[37, 2, 1], [0, 40, 0], [0, 0, 20]]",spec2d,0,4,32227,15.647328799997922,
0.94,0.9375624375624376,0.9445773524720892,0.9333333333333332,0.9986805555555556,0.961038961038961,0.925,0.9285714285714286,0.975,0.9230769230769231,0.9,0.9,"[[37, 3, 0], [0, 39, 1], [0, 2, 18]]",raw1d_wide,0,4,99795,167.03756279999652,
0.91,0.9207080892474151,0.9387755102040817,0.9166666666666666,0.9963888888888889,0.8888888888888888,0.8,0.898876404494382,1.0,0.9743589743589743,0.95,0.95,"[[32, 8, 0], [0, 40, 0], [0, 1, 19]]",spec2d_wide,0,4,97775,19.612479799994617,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9998611111111111,0.9743589743589743,0.95,0.975609756097561,1.0,1.0,1.0,1.0,"[[38, 2, 0], [0, 40, 0], [0, 0, 20]]",late,0,4,98571,47.7209526000006,
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,1.0,0.9876543209876543,1.0,1.0,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [1, 0, 19]]",gated,0,4,98698,63.52425829999993,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",attention,0,4,98544,57.3109928000049,
