model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
late,0.9771710218350291,0.014856957140732104,0.9985472222222223,0.0017213399397770315,0.9772,0.976,98571,55.17927377200045,25
gated,0.9743064970868618,0.018389313066402957,0.9983944444444444,0.0017606278180768266,0.976,0.97,98698,55.74830278400012,25
attention,0.9681117332482991,0.01971288783231521,0.9979833333333333,0.0018603119829395049,0.9684,0.9640000000000001,98544,56.887733664000116,25
spec2d,0.964608794459128,0.016453376882938808,0.9957194444444444,0.0044838691938470995,0.9632,0.978,32227,12.441137356000109,25
spec2d_wide,0.9630165931776087,0.02100699641772745,0.9969277777777777,0.0030639798641676434,0.9603999999999999,0.9739999999999999,97775,26.726265743999537,25
score,0.9629315353123409,0.01669049084803148,0.9966166666666666,0.0038642947506308738,0.9620000000000001,0.9640000000000001,59302,0.0807850280002458,25
raw1d_wide,0.962807997503364,0.015398822134322233,0.9972222222222222,0.0027965224031715687,0.964,0.948,99795,122.44353570800027,25
early,0.9582191164037845,0.023474480835228,0.99505,0.004209440937240392,0.9564,0.966,97507,28.42705522399949,25
shallow,0.9535919042697748,0.0160673550133333,0.99645,0.0022253233570000077,0.9544,0.96,21,0.022195116000075357,25
raw1d,0.9510810441478972,0.026874032978447846,0.9961666666666668,0.0034580730230754126,0.9516,0.94,27075,46.72997923599949,25
logvar,0.6459623685293988,0.04137404361514463,0.7548305555555556,0.01960657112227529,0.598,0.972,3,0.024714964000449983,25
