model,n,mean,std,ci95,lo,hi
Late,25,0.9985472222222223,0.0017213399397770297,0.000710534205155735,0.9978366880170665,0.999257756427378
Gated,25,0.9983944444444446,0.0017606278180768435,0.0007267514442582155,0.9976676930001863,0.9991211958887029
Attention,25,0.9979833333333333,0.001860311982939526,0.0007678990451536517,0.9972154342881797,0.998751232378487
1D-CNN geniş,25,0.9972222222222222,0.0027965224031715765,0.0011543477130932704,0.9960678745091289,0.9983765699353155
2D-CNN geniş,25,0.9969277777777776,0.003063979864167617,0.0012647487269025525,0.9956630290508751,0.9981925265046802
Score,25,0.9966166666666667,0.0038642947506308985,0.0015951024755067645,0.99502156419116,0.9982117691421735
Shallow-LR (7 öznitelik),25,0.9964500000000001,0.002225323357000016,0.0009185683351339141,0.9955314316648661,0.997368568335134
1D-CNN (ham),25,0.9961666666666668,0.0034580730230753796,0.0014274223876659874,0.9947392442790007,0.9975940890543328
2D-CNN (spektrogram),25,0.9957194444444444,0.004483869193847115,0.0018508502359418505,0.9938685942085025,0.9975702946803863
Early/Intermediate,25,0.99505,0.004209440937240407,0.0017375718191257165,0.9933124281808743,0.9967875718191257
LogVar (1 öznitelik),25,0.7548305555555556,0.01960657112227529,0.008093194787544292,0.7467373607680112,0.7629237503430999
