model,n,mean,std,ci95,lo,hi
Late,25,0.9771710218350291,0.014856957140732091,0.0061326504945852225,0.9710383713404439,0.9833036723296144
Gated,25,0.9743064970868616,0.018389313066402953,0.0075907353574152835,0.9667157617294463,0.9818972324442768
Attention,25,0.9681117332482991,0.0197128878323152,0.00813708016852997,0.9599746530797691,0.9762488134168291
2D-CNN (spektrogram),25,0.964608794459128,0.01645337688293883,0.006791620176524235,0.9578171742826037,0.9714004146356522
2D-CNN geniş,25,0.9630165931776087,0.021006996417727453,0.008671261938134535,0.9543453312394742,0.9716878551157432
Score,25,0.9629315353123409,0.016690490848031477,0.006889496010823562,0.9560420393015173,0.9698210313231644
1D-CNN geniş,25,0.962807997503364,0.015398822134322247,0.006356321370758683,0.9564516761326053,0.9691643188741227
Early/Intermediate,25,0.9582191164037848,0.02347448083522798,0.009689789446158312,0.9485293269576265,0.967908905849943
Shallow-LR (7 öznitelik),25,0.9535919042697746,0.016067355013333305,0.006632278180237075,0.9469596260895375,0.9602241824500116
1D-CNN (ham),25,0.9510810441478972,0.0268740329784478,0.011093055601872482,0.9399879885460247,0.9621740997497696
LogVar (1 öznitelik),25,0.6459623685293987,0.04137404361514463,0.0170783658212064,0.6288840027081923,0.6630407343506051
