acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,27075,55.734732000000804,
0.94,0.9372072715725966,0.94541910331384,0.9333333333333332,0.9977083333333333,0.9411764705882353,1.0,0.9473684210526315,0.9,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [3, 36, 1], [2, 0, 18]]",spec2d,0,0,32227,14.757612100002007,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9968055555555555,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,99795,122.00242680000156,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9992361111111111,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",spec2d_wide,0,0,97775,28.497629900000902,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9995833333333333,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,0,0,98571,50.25736859999961,
0.94,0.9342632675966009,0.9292762829348195,0.9416666666666668,0.9977083333333333,0.9629629629629629,0.975,0.935064935064935,0.9,0.9047619047619048,0.95,0.95,"[[39, 0, 1], [2, 36, 2], [0, 1, 19]]",gated,0,0,98698,66.42659889999777,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9983333333333334,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",attention,0,0,98544,47.99003249999805,
0.87,0.8662363740676994,0.8674523360569872,0.8666666666666667,0.9740277777777777,0.891566265060241,0.925,0.8571428571428571,0.825,0.85,0.85,0.85,"[[37, 3, 0], [4, 33, 3], [2, 1, 17]]",early,0,0,97507,32.866744600003585,
0.93,0.9236594159194779,0.9354354354354354,0.9166666666666666,0.9980555555555556,0.9411764705882353,1.0,0.935064935064935,0.9,0.8947368421052632,0.85,0.85,"[[40, 0, 0], [3, 36, 1], [2, 1, 17]]",score,0,0,59302,0.0996917999946163,0.07500000000000001
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7473611111111111,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,3,0.07081540000217501,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9971527777777777,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,21,0.025240900002245326,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",raw1d,0,1,27075,42.66415319999942,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9995833333333333,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,1,32227,15.240968799997063,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9997916666666667,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,0,1,99795,108.96481809999386,
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.9986805555555556,0.9523809523809523,1.0,0.961038961038961,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [1, 0, 19]]",spec2d_wide,0,1,97775,21.0491320000001,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,1.0,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,0,1,98571,50.956267800000205,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,1,98698,60.12286419999873,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9997222222222222,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",attention,0,1,98544,53.57967859999917,
0.97,0.9659927257167308,0.9757936507936508,0.9583333333333334,0.9927777777777779,0.975609756097561,1.0,0.975,0.975,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [1, 39, 0], [1, 1, 18]]",early,0,1,97507,27.600792899997032,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",score,0,1,59302,0.09337500000401633,0.325
0.61,0.6477588699810922,0.63012912482066,0.6749999999999999,0.7744444444444444,0.5679012345679012,0.575,0.4864864864864865,0.45,0.8888888888888888,1.0,1.0,"[[23, 16, 1], [18, 18, 4], [0, 0, 20]]",logvar,0,1,3,0.028205000002344605,
0.98,0.9755799755799757,0.9696969696969697,0.9833333333333334,1.0,1.0,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [0, 38, 2], [0, 0, 20]]",shallow,0,1,21,0.028220100000908133,
