model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
late,0.9740386418003482,0.017837564038812835,0.9986527777777777,0.001980283148374638,0.9743999999999999,0.976,98571,53.7947194959996,25
gated,0.9730945343347909,0.021452498219180702,0.9986916666666668,0.0018717478655033688,0.9739999999999999,0.9620000000000001,98698,52.34765491999977,25
attention,0.9687708510050888,0.020373141425306548,0.9973444444444445,0.0038246639420407937,0.9688,0.958,98544,57.07512674000056,25
spec2d_wide,0.9654744565908163,0.02402499704902067,0.9984055555555555,0.001559601220529847,0.9656,0.964,97775,26.830412928000005,25
score,0.96366912371948,0.017722934372619414,0.9980277777777777,0.0024606274606286806,0.9636,0.958,59302,0.07867523200053256,25
raw1d_wide,0.962807997503364,0.015398822134322233,0.9972222222222222,0.0027965224031715687,0.964,0.948,99795,122.8679714840003,25
spec2d,0.9602389750811936,0.01958411564403375,0.9977611111111111,0.002241334909362258,0.9608,0.9540000000000001,32227,13.915334036000422,25
shallow,0.9535919042697748,0.0160673550133333,0.99645,0.0022253233570000077,0.9544,0.96,21,0.022398940000566653,25
raw1d,0.9510810441478972,0.026874032978447846,0.9961666666666668,0.0034580730230754126,0.9516,0.94,27075,47.191275312000215,25
early,0.896328000273656,0.042289637462681454,0.9773611111111111,0.018630718406397448,0.9056000000000001,0.838,97507,34.37717349999992,25
logvar,0.6459623685293988,0.04137404361514463,0.7548305555555556,0.01960657112227529,0.598,0.972,3,0.024755707999574952,25
