model,n,mean,std,ci95,lo,hi
Gated,25,0.9986916666666665,0.0018717478655033602,0.0007726195454685406,0.9979190471211979,0.9994642862121351
Late,25,0.9986527777777777,0.001980283148374654,0.0008174207083093312,0.9978353570694684,0.9994701984860871
2D-CNN geniş,25,0.9984055555555557,0.0015596012205298482,0.0006437717431529718,0.9977617838124027,0.9990493272987087
Score,25,0.9980277777777777,0.00246062746062868,0.0010156970953387884,0.997012080682439,0.9990434748731165
2D-CNN (spektrogram),25,0.9977611111111111,0.0022413349093622255,0.0009251775791118734,0.9968359335319992,0.998686288690223
Attention,25,0.9973444444444445,0.003824663942040785,0.0015787436817377063,0.9957657007627068,0.9989231881261822
1D-CNN geniş,25,0.9972222222222222,0.0027965224031715765,0.0011543477130932704,0.9960678745091289,0.9983765699353155
Shallow-LR (7 öznitelik),25,0.9964500000000001,0.002225323357000016,0.0009185683351339141,0.9955314316648661,0.997368568335134
1D-CNN (ham),25,0.9961666666666668,0.0034580730230753796,0.0014274223876659874,0.9947392442790007,0.9975940890543328
Early/Intermediate,25,0.977361111111111,0.018630718406397438,0.007690382584212072,0.969670728526899,0.9850514936953231
LogVar (1 öznitelik),25,0.7548305555555556,0.01960657112227529,0.008093194787544292,0.7467373607680112,0.7629237503430999
