model,n,mean,std,ci95,lo,hi
Late,25,0.9740386418003482,0.017837564038812856,0.007362984552530712,0.9666756572478175,0.9814016263528789
Gated,25,0.9730945343347909,0.021452498219180705,0.008855156043578945,0.964239378291212,0.9819496903783698
Attention,25,0.9687708510050886,0.020373141425306537,0.00840961945670688,0.9603612315483817,0.9771804704617956
2D-CNN geniş,25,0.9654744565908163,0.024024997049020648,0.00991703137051823,0.9555574252202981,0.9753914879613346
Score,25,0.96366912371948,0.0177229343726194,0.007315667751895396,0.9563534559675846,0.9709847914713754
1D-CNN geniş,25,0.962807997503364,0.015398822134322247,0.006356321370758683,0.9564516761326053,0.9691643188741227
2D-CNN (spektrogram),25,0.9602389750811936,0.019584115644033746,0.008083925621695614,0.952155049459498,0.9683229007028892
Shallow-LR (7 öznitelik),25,0.9535919042697746,0.016067355013333305,0.006632278180237075,0.9469596260895375,0.9602241824500116
1D-CNN (ham),25,0.9510810441478972,0.0268740329784478,0.011093055601872482,0.9399879885460247,0.9621740997497696
Early/Intermediate,25,0.8963280002736562,0.04228963746268145,0.017456304386199738,0.8788716958874565,0.9137843046598559
LogVar (1 öznitelik),25,0.6459623685293987,0.04137404361514463,0.0170783658212064,0.6288840027081923,0.6630407343506051
