acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9977777777777778,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,27075,31.05501809999987,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9991666666666665,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",spec2d,0,0,32227,12.170109600003343,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9970833333333333,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,99795,71.59753939999791,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9997222222222222,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",spec2d_wide,0,0,97775,18.752904599998146,
0.96,0.9624406457739791,0.9670731707317074,0.9583333333333334,0.9986805555555556,0.9629629629629629,0.975,0.95,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [0, 1, 19]]",late,0,0,98571,26.909028699999908,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9953472222222222,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",gated,0,0,98698,34.42790429999877,
0.95,0.9540957824378634,0.9590964590964591,0.9499999999999998,0.9969444444444445,0.9512195121951219,0.975,0.9367088607594937,0.925,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [3, 37, 0], [0, 1, 19]]",attention,0,0,98544,38.219462500012014,
0.94,0.9384324977348233,0.9308460634547591,0.9500000000000001,0.9958333333333332,0.95,0.95,0.935064935064935,0.9,0.9302325581395349,1.0,1.0,"[[38, 1, 1], [2, 36, 2], [0, 0, 20]]",early,0,0,97507,44.1997252000001,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9991666666666665,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",score,0,0,59302,0.0787539999873843,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7473611111111111,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,3,0.06408120000560302,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9971527777777777,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,21,0.025850000005448237,
0.97,0.9666562434855118,0.9674603174603175,0.9666666666666667,0.9959027777777778,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,0.95,0.95,"[[40, 0, 0], [1, 38, 1], [1, 0, 19]]",raw1d,0,1,27075,31.164151200006017,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9938888888888888,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",spec2d,0,1,32227,11.392324800006463,
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,0.9985416666666667,0.9876543209876543,1.0,1.0,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [1, 0, 19]]",raw1d_wide,0,1,99795,86.96292130000074,
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.9904861111111112,0.9523809523809523,1.0,0.961038961038961,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [1, 0, 19]]",spec2d_wide,0,1,97775,14.786271899996791,
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,1.0,0.9523809523809523,1.0,0.961038961038961,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [1, 0, 19]]",late,0,1,98571,36.366210299995146,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,1.0,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",gated,0,1,98698,40.25636049998866,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",attention,0,1,98544,72.22474990000774,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9994444444444444,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",early,0,1,97507,21.903002499995637,
0.98,0.9791035008694781,0.9841269841269842,0.975,1.0,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",score,0,1,59302,0.11544429999776185,0.225
