model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
gated,0.9702573900927061,0.028012282624768476,0.9969111111111111,0.004847248752978463,0.9695999999999999,0.9540000000000001,98698,52.402247347999364,25
late,0.9683024083200789,0.02199772359077326,0.9979444444444445,0.002308179146475006,0.9675999999999999,0.9520000000000001,98571,55.928838292,25
score,0.9653621631585533,0.015183628195043684,0.9975111111111111,0.003392882911270081,0.9652,0.95,59302,0.09706723999988753,25
raw1d_wide,0.9618287256561534,0.017694403005232198,0.9968527777777777,0.00306348403187946,0.9623999999999999,0.946,99795,105.93935403199983,25
spec2d_wide,0.9612794931296312,0.017666062449374517,0.9960972222222222,0.004760618005710626,0.9612,0.946,97775,24.884956088000326,25
raw1d,0.9585889033348542,0.01815474772505279,0.9963555555555555,0.0026906264712169108,0.9588,0.944,27075,40.997311344000046,25
spec2d,0.9577257494709993,0.022856543820096106,0.9944611111111111,0.007769358248770377,0.958,0.9420000000000001,32227,14.380129303999711,25
attention,0.9563609533040038,0.027654398812849448,0.9934638888888888,0.009341768950222522,0.9571999999999999,0.9440000000000001,98544,55.32332696000172,25
shallow,0.9535919042697748,0.0160673550133333,0.99645,0.0022253233570000077,0.9544,0.96,21,0.02931207600107882,25
early,0.9341509112818988,0.021708517221449505,0.9899055555555555,0.0076491114259759204,0.9351999999999999,0.9259999999999999,97507,37.29296617599903,25
logvar,0.6459623685293988,0.04137404361514463,0.7548305555555556,0.01960657112227529,0.598,0.972,3,0.03228479199868161,25
