acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.9333333333333333,0.925,0.925,0.925,0.9862500000000001,0.95,0.95,0.9,0.9,0.9,"[[38, 2], [2, 18]]",raw1d,0,0,26946,24.272319799998513,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9974999999999999,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",spec2d,0,0,32098,8.056461100000888,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",raw1d_wide,0,0,99666,63.58345990000089,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",spec2d_wide,0,0,97646,20.45739500000127,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,1.0,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",late,0,0,98416,49.435181299999385,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",gated,0,0,98569,44.6473950000036,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",attention,0,0,98415,38.28226509999877,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.98625,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",early,0,0,97617,14.135543800002779,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9974999999999999,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",score,0,0,59044,0.09082039999339031,0.0
0.9166666666666666,0.9093929326487467,0.899529964747356,0.925,0.9775,0.935064935064935,0.9,0.8837209302325582,0.95,0.95,"[[36, 4], [1, 19]]",logvar,0,0,2,0.022132099998998456,
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",shallow,0,0,14,0.021551399993768428,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",raw1d,0,1,26946,26.681835299998056,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d,0,1,32098,8.327284499995585,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,1.0,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",raw1d_wide,0,1,99666,65.68410870000662,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d_wide,0,1,97646,16.832328299999062,
