acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,n_fit
0.9166666666666666,0.9093929326487467,0.899529964747356,0.925,0.9775,0.935064935064935,0.9,0.8837209302325582,0.95,0.95,"[[36, 4], [1, 19]]",logvar__trval,0,0,240
0.9333333333333333,0.9282296650717703,0.9166666666666667,0.95,0.9775,0.9473684210526315,0.9,0.9090909090909091,1.0,1.0,"[[36, 4], [0, 20]]",logvar__tr_only,0,0,192
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",shallow__trval,0,0,240
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9974999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",shallow__tr_only,0,0,192
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9924999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",logvar__trval,0,1,240
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9924999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",logvar__tr_only,0,1,192
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.9974999999999999,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",shallow__trval,0,1,240
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,0.99875,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",shallow__tr_only,0,1,192
0.9333333333333333,0.925,0.925,0.925,0.9862500000000001,0.95,0.95,0.9,0.9,0.9,"[[38, 2], [2, 18]]",logvar__trval,0,2,240
0.9166666666666666,0.9050332383665717,0.9107830551989731,0.8999999999999999,0.9862500000000001,0.9382716049382716,0.95,0.8717948717948718,0.85,0.85,"[[38, 2], [3, 17]]",logvar__tr_only,0,2,192
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9974999999999999,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow__trval,0,2,240
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9974999999999999,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow__tr_only,0,2,192
0.95,0.9413871703028329,0.9651162790697674,0.925,1.0,0.963855421686747,1.0,0.918918918918919,0.85,0.85,"[[40, 0], [3, 17]]",logvar__trval,0,3,240
0.95,0.9413871703028329,0.9651162790697674,0.925,1.0,0.963855421686747,1.0,0.918918918918919,0.85,0.85,"[[40, 0], [3, 17]]",logvar__tr_only,0,3,192
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow__trval,0,3,240
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.9875,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",shallow__tr_only,0,3,192
