model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
gated,0.9871302973727826,0.015392025235029846,0.99945,0.0021065374432940737,0.9886666666666666,0.98,98569,39.23838375599982,25
attention,0.9849290055707159,0.02066939217801339,0.9995,0.0011410886614690529,0.9866666666666667,0.982,98415,39.81563106800007,25
late,0.9843549741348743,0.014854760851705166,0.9997499999999999,0.0005103103630798282,0.986,0.986,98416,38.11363262800078,25
spec2d_wide,0.9842666124072206,0.014962729752170152,0.99945,0.0013540064007726582,0.986,0.98,97646,16.95522416000007,25
score,0.9814072839989513,0.019960165656844775,0.9991,0.0012247448713915896,0.9833333333333333,0.982,59044,0.09205478800024139,25
spec2d,0.9785084823523306,0.021026742847651988,0.9991,0.0012247448713915896,0.9806666666666666,0.982,32098,8.264883040000859,25
raw1d_wide,0.9729548478665017,0.018022191467559484,0.9975499999999999,0.007460660716942802,0.976,0.9620000000000001,99666,72.54640819599969,25
shallow,0.9643710512662588,0.0219133698006115,0.99535,0.005185617128172895,0.968,0.968,14,0.021566963999939615,25
raw1d,0.9636076596412728,0.028990889590326002,0.9974500000000001,0.004074181921973169,0.9673333333333334,0.96,26946,25.715848284000387,25
logvar,0.9331005042853344,0.02362494532298471,0.9864499999999999,0.009275022461787711,0.94,0.9259999999999999,2,0.02075474399927771,25
early,0.9233713380485261,0.040674945930654814,0.981,0.017871794584390983,0.9326666666666666,0.88,97617,18.451075775999634,25
