model,n,mean,std,ci95,lo,hi
Late,25,0.9997500000000001,0.0005103103630798179,0.0002106457648688618,0.9995393542351313,0.999960645764869
Attention,25,0.9995,0.0011410886614690982,0.000471018249419223,0.9990289817505809,0.9999710182494193
Gated,25,0.99945,0.002106537443294093,0.0008695359198460494,0.9985804640801539,1.000319535919846
2D-CNN geniş,25,0.99945,0.0013540064007726573,0.0005589063725979641,0.998891093627402,1.0000089063725979
Score,25,0.9991,0.0012247448713915737,0.0005055498356852728,0.9985944501643147,0.9996055498356853
2D-CNN (spektrogram),25,0.9991,0.0012247448713915737,0.0005055498356852728,0.9985944501643147,0.9996055498356853
1D-CNN geniş,25,0.9975499999999999,0.007460660716942788,0.0030796093844985793,0.9944703906155014,1.0006296093844984
1D-CNN (ham),25,0.9974500000000001,0.004074181921973214,0.00168173964171428,0.9957682603582858,0.9991317396417143
Shallow-LR (7 öznitelik),25,0.99535,0.0051856171281728924,0.002140517546397932,0.9932094824536021,0.9974905175463978
LogVar (1 öznitelik),25,0.9864499999999999,0.009275022461787718,0.003828541103590251,0.9826214588964097,0.9902785411035901
Early/Intermediate,25,0.9810000000000001,0.01787179458439097,0.007377114227287195,0.9736228857727129,0.9883771142272872
