model,n,mean,std,ci95,lo,hi
Gated,25,0.9871302973727826,0.015392025235029852,0.006353515748624061,0.9807767816241585,0.9934838131214067
Attention,25,0.9849290055707159,0.02066939217801338,0.008531905757185456,0.9763970998135305,0.9934609113279014
Late,25,0.9843549741348742,0.014854760851705185,0.006131743911032513,0.9782232302238416,0.9904867180459067
2D-CNN geniş,25,0.9842666124072206,0.014962729752170143,0.0061763112827065494,0.978090301124514,0.9904429236899271
Score,25,0.9814072839989513,0.01996016565684479,0.008239151437803795,0.9731681325611474,0.9896464354367551
2D-CNN (spektrogram),25,0.9785084823523306,0.021026742847652005,0.00867941286379825,0.9698290694885323,0.9871878952161288
1D-CNN geniş,25,0.9729548478665017,0.01802219146755949,0.007439195009456163,0.9655156528570455,0.9803940428759578
Shallow-LR (7 öznitelik),25,0.9643710512662587,0.021913369800611506,0.009045394482380998,0.9553256567838777,0.9734164457486396
1D-CNN (ham),25,0.9636076596412728,0.028990889590326016,0.011966851065158124,0.9516408085761147,0.975574510706431
LogVar (1 öznitelik),25,0.9331005042853343,0.02362494532298473,0.009751898134129763,0.9233486061512045,0.9428524024194641
Early/Intermediate,25,0.9233713380485262,0.04067494593065483,0.016789792480115202,0.906581545568411,0.9401611305286415
