acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",raw1d,0,0,26946,38.922228900002665,
0.97,0.9502570054717294,0.9819277108433735,0.925,0.999375,0.9815950920245399,1.0,0.918918918918919,0.85,0.85,"[[80, 0], [3, 17]]",spec2d,0,0,32098,12.449071899998671,
0.99,0.9846602239607302,0.9761904761904762,0.99375,1.0,0.9937106918238994,0.9875,0.975609756097561,1.0,1.0,"[[79, 1], [0, 20]]",raw1d_wide,0,0,99666,103.21462119999705,
0.99,0.9840738971173754,0.9938271604938271,0.975,1.0,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",spec2d_wide,0,0,97646,25.76195739999821,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",late,0,0,98416,58.904555100001744,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.999375,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",gated,0,0,98569,50.47556609999447,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",attention,0,0,98415,47.47228560000076,
0.98,0.9675113710201428,0.9878048780487805,0.95,0.990625,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",early,0,0,97617,32.066404299999704,
0.98,0.9675113710201428,0.9878048780487805,0.95,1.0,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",score,0,0,59044,0.09250819999579107,0.42500000000000004
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",logvar,0,0,2,0.02287870000145631,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",shallow,0,0,14,0.07275639999716077,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.99875,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",raw1d,0,1,26946,42.842636200002744,
0.98,0.96875,0.96875,0.96875,0.999375,0.9875,0.9875,0.95,0.95,0.95,"[[79, 1], [1, 19]]",spec2d,0,1,32098,11.375594800003455,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.973125,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",raw1d_wide,0,1,99666,158.39263790000405,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",spec2d_wide,0,1,97646,22.71907839999767,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",late,0,1,98416,54.75898980000056,
0.98,0.9698613622664256,0.9545454545454546,0.9875,1.0,0.9873417721518988,0.975,0.9523809523809523,1.0,1.0,"[[78, 2], [0, 20]]",gated,0,1,98569,45.75900919999549,
0.99,0.9840738971173754,0.9938271604938271,0.975,1.0,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",attention,0,1,98415,58.92996239999775,
0.97,0.9522216913521262,0.9613385315139701,0.9437500000000001,0.979375,0.9813664596273292,0.9875,0.9230769230769231,0.9,0.9,"[[79, 1], [2, 18]]",early,0,1,97617,26.712399899995944,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",score,0,1,59044,0.09107339999900432,0.45
0.97,0.9522216913521262,0.9613385315139701,0.9437500000000001,0.995,0.9813664596273292,0.9875,0.9230769230769231,0.9,0.9,"[[79, 1], [2, 18]]",logvar,0,1,2,0.025790500003495254,
0.98,0.96875,0.96875,0.96875,0.9981249999999999,0.9875,0.9875,0.95,0.95,0.95,"[[79, 1], [1, 19]]",shallow,0,1,14,0.034397099996567704,
0.99,0.9846602239607302,0.9761904761904762,0.99375,0.999375,0.9937106918238994,0.9875,0.975609756097561,1.0,1.0,"[[79, 1], [0, 20]]",raw1d,0,2,26946,40.60049599999911,
0.98,0.9675113710201428,0.9878048780487805,0.95,0.99875,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",spec2d,0,2,32098,10.132216000005428,
0.98,0.9675113710201428,0.9878048780487805,0.95,0.999375,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",raw1d_wide,0,2,99666,128.04850420000002,
0.99,0.9840738971173754,0.9938271604938271,0.975,1.0,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",spec2d_wide,0,2,97646,24.239183600002434,
0.98,0.96875,0.96875,0.96875,0.999375,0.9875,0.9875,0.95,0.95,0.95,"[[79, 1], [1, 19]]",late,0,2,98416,49.031491200003074,
0.96,0.9322493224932249,0.9761904761904762,0.9,0.999375,0.975609756097561,1.0,0.8888888888888888,0.8,0.8,"[[80, 0], [4, 16]]",gated,0,2,98569,48.913054500000726,
0.98,0.9675113710201428,0.9878048780487805,0.95,0.9937499999999999,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",attention,0,2,98415,51.859120499997516,
0.93,0.8787878787878788,0.9313725490196079,0.84375,0.905,0.9575757575757575,0.9875,0.8,0.7,0.7,"[[79, 1], [6, 14]]",early,0,2,97617,24.367157699998643,
0.98,0.9675113710201428,0.9878048780487805,0.95,0.99875,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",score,0,2,59044,0.11293529999966267,0.0
0.95,0.9259368982372982,0.9065499717673631,0.95,0.986875,0.9681528662420382,0.95,0.8837209302325582,0.95,0.95,"[[76, 4], [1, 19]]",logvar,0,2,2,0.026823499996680766,
0.97,0.955562138942379,0.9347826086956521,0.98125,0.9924999999999999,0.9808917197452229,0.9625,0.9302325581395349,1.0,1.0,"[[77, 3], [0, 20]]",shallow,0,2,14,0.02955620000284398,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.9924999999999999,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",raw1d,0,3,26946,43.077798400001484,
0.96,0.9322493224932249,0.9761904761904762,0.9,0.998125,0.975609756097561,1.0,0.8888888888888888,0.8,0.8,"[[80, 0], [4, 16]]",spec2d,0,3,32098,14.078618599996844,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.999375,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",raw1d_wide,0,3,99666,109.78435400000308,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.99875,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",spec2d_wide,0,3,97646,26.72388140000112,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",late,0,3,98416,65.53212910000002,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[80, 0], [0, 20]]",gated,0,3,98569,49.517722600001434,
0.97,0.9522216913521262,0.9613385315139701,0.9437500000000001,0.9981249999999999,0.9813664596273292,0.9875,0.9230769230769231,0.9,0.9,"[[79, 1], [2, 18]]",attention,0,3,98415,73.04580980000173,
0.96,0.9375,0.9375,0.9375,0.9881249999999999,0.975,0.975,0.9,0.9,0.9,"[[78, 2], [2, 18]]",early,0,3,97617,27.28095079999912,
0.96,0.9322493224932249,0.9761904761904762,0.9,0.998125,0.975609756097561,1.0,0.8888888888888888,0.8,0.8,"[[80, 0], [4, 16]]",score,0,3,59044,0.08669319999899017,0.0
0.99,0.9846602239607302,0.9761904761904762,0.99375,0.9912500000000001,0.9937106918238994,0.9875,0.975609756097561,1.0,1.0,"[[79, 1], [0, 20]]",logvar,0,3,2,0.02037209999980405,
0.98,0.96875,0.96875,0.96875,0.99375,0.9875,0.9875,0.95,0.95,0.95,"[[79, 1], [1, 19]]",shallow,0,3,14,0.02602370000386145,
0.98,0.96875,0.96875,0.96875,0.998125,0.9875,0.9875,0.95,0.95,0.95,"[[79, 1], [1, 19]]",raw1d,0,4,26946,37.344374499996775,
0.99,0.9840738971173754,0.9938271604938271,0.975,1.0,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",spec2d,0,4,32098,10.783290799998213,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.996875,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",raw1d_wide,0,4,99666,113.13972689999355,
0.97,0.9502570054717294,0.9819277108433735,0.925,1.0,0.9815950920245399,1.0,0.918918918918919,0.85,0.85,"[[80, 0], [3, 17]]",spec2d_wide,0,4,97646,21.811909500000183,
0.98,0.9675113710201428,0.9878048780487805,0.95,1.0,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9,"[[80, 0], [2, 18]]",late,0,4,98416,50.73178759999428,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.9974999999999999,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",gated,0,4,98569,52.23206790000404,
0.99,0.9840738971173754,0.9938271604938271,0.975,1.0,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",attention,0,4,98415,55.010821800002304,
0.91,0.8666864168271367,0.8500846979107848,0.8875,0.969375,0.9426751592356688,0.925,0.7906976744186046,0.85,0.85,"[[74, 6], [3, 17]]",early,0,4,97617,40.550125999994634,
0.99,0.9840738971173754,0.9938271604938271,0.975,1.0,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",score,0,4,59044,0.09500329999718815,0.0
0.94,0.9153020892151327,0.8846153846153846,0.9625,0.98875,0.961038961038961,0.925,0.8695652173913043,1.0,1.0,"[[74, 6], [0, 20]]",logvar,0,4,2,0.020272199995815754,
0.96,0.9397227245328511,0.9254079254079255,0.95625,0.989375,0.9746835443037974,0.9625,0.9047619047619048,0.95,0.95,"[[77, 3], [1, 19]]",shallow,0,4,14,0.024437799998850096,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.999375,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",raw1d,1,0,26946,44.40130639999552,
0.99,0.9840738971173754,0.9938271604938271,0.975,0.999375,0.9937888198757764,1.0,0.9743589743589743,0.95,0.95,"[[80, 0], [1, 19]]",spec2d,1,0,32098,16.702063999997335,
