model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
late,0.9856275833734836,0.019619085547184594,0.9997499999999999,0.000510310363079819,0.9908,0.972,98416,52.86942908000056,25
spec2d_wide,0.9819657042625475,0.019027977699019167,0.9995499999999999,0.0010129371484286066,0.9884000000000001,0.97,97646,25.313046295999957,25
gated,0.9802225353692829,0.01802126390267268,0.9997499999999999,0.0005412658773652695,0.9876,0.958,98569,49.967384636000205,25
attention,0.9766684333073817,0.021625782770018042,0.9983249999999999,0.003276136889183178,0.9852,0.9540000000000001,98415,53.73958537600032,25
score,0.9761319624286984,0.018766560111594142,0.9990000000000001,0.0021423920626253167,0.9852,0.9420000000000001,59044,0.08359257600066484,25
raw1d_wide,0.9760226498776067,0.014294948391894031,0.9924,0.011443190751854744,0.9848,0.948,99666,122.28468002399997,25
spec2d,0.971995353783713,0.022995807404020324,0.9988750000000001,0.0029646353064078424,0.9823999999999999,0.946,32098,12.365948851999274,25
raw1d,0.9685452543451131,0.019185834588102985,0.9947750000000001,0.009480105264886754,0.98,0.9420000000000001,26946,40.55366982400039,25
shallow,0.9639763728344529,0.02017478403152756,0.995125,0.00379315447000691,0.9764,0.97,14,0.024476348000753205,25
logvar,0.9543037175218548,0.02634059786925041,0.99235,0.005779926650341983,0.9695999999999999,0.968,2,0.01952940000075614,25
early,0.8985253379210004,0.039545534459529866,0.965375,0.028859618919290446,0.9356,0.8240000000000001,97617,30.856595223998884,25
