model,n,mean,std,ci95,lo,hi
Late,25,0.9997500000000001,0.0005103103630798179,0.0002106457648688618,0.9995393542351313,0.999960645764869
Gated,25,0.9997499999999999,0.0005412658773652626,0.0002234235731504988,0.9995265764268494,0.9999734235731504
2D-CNN geniş,25,0.9995499999999999,0.0010129371484285978,0.0004181199047322743,0.9991318800952677,0.9999681199047322
Score,25,0.9990000000000001,0.0021423920626253224,0.0008843359792991381,0.998115664020701,0.9998843359792993
2D-CNN (spektrogram),25,0.9988750000000001,0.0029646353064078576,0.0012237413089293647,0.9976512586910707,1.0000987413089295
Attention,25,0.9983249999999999,0.0032761368891831475,0.001352322842656319,0.9969726771573436,0.9996773228426562
Shallow-LR (7 öznitelik),25,0.995125,0.00379315447000691,0.0015657372109360314,0.993559262789064,0.996690737210936
1D-CNN (ham),25,0.994775,0.009480105264886747,0.003913195124056397,0.9908618048759436,0.9986881951240564
1D-CNN geniş,25,0.9924000000000001,0.011443190751854715,0.004723516986637603,0.9876764830133624,0.9971235169866377
LogVar (1 öznitelik),25,0.99235,0.00577992665034197,0.002385836459991251,0.9899641635400087,0.9947358364599912
Early/Intermediate,25,0.9653750000000001,0.02885961891929044,0.01191266519533127,0.9534623348046688,0.9772876651953314
