model,n,mean,std,ci95,lo,hi
Late,25,0.9856275833734836,0.01961908554718458,0.00809836048825827,0.9775292228852253,0.9937259438617418
2D-CNN geniş,25,0.9819657042625475,0.01902797769901918,0.007854363160739147,0.9741113411018083,0.9898200674232867
Gated,25,0.9802225353692829,0.018021263902672696,0.007438812129489029,0.9727837232397939,0.987661347498772
Attention,25,0.9766684333073818,0.02162578277001802,0.008926684390624044,0.9677417489167578,0.9855951176980059
Score,25,0.9761319624286984,0.01876656011159414,0.007746455284204985,0.9683855071444933,0.9838784177129034
1D-CNN geniş,25,0.9760226498776067,0.01429494839189403,0.005900664684915374,0.9701219851926913,0.981923314562522
2D-CNN (spektrogram),25,0.971995353783713,0.022995807404020328,0.009492202764926507,0.9625031510187866,0.9814875565486395
1D-CNN (ham),25,0.9685452543451128,0.01918583458810298,0.007919523282003772,0.9606257310631091,0.9764647776271166
Shallow-LR (7 öznitelik),25,0.9639763728344529,0.020174784031527573,0.008327741548765142,0.9556486312856878,0.9723041143832181
LogVar (1 öznitelik),25,0.9543037175218549,0.02634059786925042,0.010872864410953609,0.9434308531109014,0.9651765819328085
Early/Intermediate,25,0.8985253379210004,0.03954553445952988,0.016323594337967005,0.8822017435830334,0.9148489322589675
