acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,sensitivity,specificity,false_alarms,fa_per_hour_subsampled,model,fold,test_subjects,n_test,n_test_ictal,params,sec,best_epoch,epochs_run,val_f1,blend_w
0.892,0.7834525680921369,0.9405286343612336,0.73,0.9526,0.3328190409871131,0.1530581699971973,0.936768149882904,1.0,0.6301369863013698,0.46,0.46,"[[200, 0], [27, 23]]",0.46,1.0,0,0.0,raw1d,0,chb01,250,50,28850,270.4,17,30,0.7449385548635952,
0.92,0.8511904761904762,0.9545454545454546,0.8,0.9718,0.2732332113984683,0.1450083964915334,0.9523809523809524,1.0,0.75,0.6,0.6,"[[200, 0], [20, 30]]",0.6,1.0,0,0.0,spec2d,0,chb01,250,50,34546,95.5,7,20,0.6655154403206974,
0.952,0.9172550750220654,0.9716981132075472,0.88,0.9771,0.1847984504660554,0.0807949325241161,0.970873786407767,1.0,0.8636363636363636,0.76,0.76,"[[200, 0], [12, 38]]",0.76,1.0,0,0.0,raw1d_wide,0,chb01,250,50,103712,453.9,11,24,0.7483479536428959,
0.84,0.6212121212121212,0.9166666666666669,0.6,0.9546,0.6429907096865329,0.2746964342794925,0.9090909090909092,1.0,0.3333333333333333,0.2,0.2,"[[200, 0], [40, 10]]",0.2,1.0,0,0.0,spec2d_wide,0,chb01,250,50,102236,82.2,5,20,0.645472042818513,
0.988,0.9808139981069812,0.9926108374384236,0.97,0.9954,0.062212658947436,0.0299401779933923,0.9925558312655088,1.0,0.9690721649484536,0.94,0.94,"[[200, 0], [3, 47]]",0.94,1.0,0,0.0,late,0,chb01,250,50,102768,313.8,13,26,0.7496035978083614,
0.976,0.9619250685348766,0.9692656765676568,0.955,0.9934,0.0846622449453719,0.0396231050324901,0.9850746268656716,0.99,0.9387755102040816,0.92,0.92,"[[198, 2], [4, 46]]",0.92,0.99,2,0.0493218249075215,gated,0,chb01,250,50,102921,228.6,2,20,0.7614991562148814,
0.916,0.8421479900177395,0.9524886877828054,0.79,0.9645,0.5692011181238953,0.146622791835878,0.9501187648456056,1.0,0.7341772151898734,0.58,0.58,"[[200, 0], [21, 29]]",0.58,1.0,0,0.0,attention,0,chb01,250,50,102767,362.7,22,35,0.7626438785339622,
0.952,0.9238501370697532,0.9305899339933994,0.9175,0.9776,0.1478520042522922,0.0808514717844616,0.9701492537313432,0.975,0.8775510204081632,0.86,0.86,"[[195, 5], [7, 43]]",0.86,0.975,5,0.1233045622688039,early,0,chb01,250,50,102547,194.7,12,25,0.6836740921574611,
0.83,0.5824121837386391,0.9123711340206184,0.575,0.74625,1.1364267595498108,0.3414258224339886,0.903954802259887,1.0,0.2608695652173913,0.15,0.15,"[[80, 0], [17, 3]]",0.15,1.0,0,0.0,raw1d,1,chb02,100,20,28850,365.7,26,39,0.7522188568704353,
0.91,0.8709677419354839,0.8466666666666667,0.90625,0.969375,0.2001865729623206,0.1196378895091505,0.9419354838709676,0.9125,0.8,0.9,0.9,"[[73, 7], [2, 18]]",0.9,0.9125,7,0.1985033477747144,spec2d,1,chb02,100,20,34546,90.1,3,20,0.6683644518486418,
0.79,0.52,0.6052631578947368,0.53125,0.6868749999999999,0.7337785207712321,0.3875651034863077,0.88,0.9625,0.16,0.1,0.1,"[[77, 3], [18, 2]]",0.1,0.9625,3,0.0850728633320204,raw1d_wide,1,chb02,100,20,103712,511.5,7,20,0.7665569119733061,
0.93,0.8926215677251113,0.8857745629897529,0.8999999999999999,0.960625,0.3362693793495524,0.1340208276924007,0.9559748427672956,0.95,0.8292682926829268,0.85,0.85,"[[76, 4], [3, 17]]",0.85,0.95,4,0.1134304844426939,spec2d_wide,1,chb02,100,20,102236,258.9,23,36,0.7309143686502177,
0.85,0.6788696210661529,0.8533026113671275,0.64375,0.8925,0.488919234226166,0.2529922786223553,0.9132947976878611,0.9875,0.4444444444444444,0.3,0.3,"[[79, 1], [14, 6]]",0.3,0.9875,1,0.0283576211106734,late,1,chb02,100,20,102768,305.9,6,20,0.7948847903298001,
0.87,0.7216870049239992,0.9301075268817204,0.675,0.95375,0.377187326707196,0.1978464510788968,0.9248554913294798,1.0,0.5185185185185185,0.35,0.35,"[[80, 0], [13, 7]]",0.35,1.0,0,0.0,gated,1,chb02,100,20,102921,310.1,7,20,0.767772148011669,
0.85,0.6975196612220206,0.8174603174603174,0.6625,0.833125,1.0468355256471376,0.2671227578174113,0.912280701754386,0.975,0.4827586206896552,0.35,0.35,"[[78, 2], [13, 7]]",0.35,0.975,2,0.0567152422213469,attention,1,chb02,100,20,102767,516.5,19,32,0.7489296390077469,
0.88,0.7767857142857143,0.8598484848484849,0.7375,0.934375,0.2680632807730855,0.1742378044681392,0.9285714285714286,0.975,0.625,0.5,0.5,"[[78, 2], [10, 10]]",0.5,0.975,2,0.0567152422213469,early,1,chb02,100,20,102547,267.9,7,20,0.6696201472075171,
