model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,early,25,0.9849290055707159,0.9233713380485262,0.061557667522189795,7.13214497087183e-05,0.026485521319760244,0.04231422524182517,2.9802322387695312e-06,0.07810002712859115,0.10609933391186777,0.005592095265883993,0.024026072021514855,0.9703818327126011,0.002259095020013882,0.05949828108502042,0.9382426238949657,0.0030668223374748873,1.0,1.0,0.00014901161193847656,True,False
attention,gated,25,0.9849290055707159,0.9871302973727826,-0.002201291802066656,0.958369671497042,0.8751563943144111,0.886676080392429,0.803619384765625,0.011009396349803736,0.025917839116084206,0.28946625052131936,0.5167899496228161,0.19374379985586448,0.10570391738883317,0.8331301525308653,0.06116593008030149,1.0,1.0,1.0,1.0,False,False
attention,late,25,0.9849290055707159,0.9843549741348742,0.000574031435841742,0.5122917987047007,0.9641377378026162,0.9674699518217227,0.6072387695312499,0.008602097268100845,0.022190260230462087,0.20544870228584908,0.5631090451997467,0.23144225251440415,0.05824963730295126,0.8731278722452015,0.06862249045184717,1.0,1.0,1.0,1.0,False,False
attention,logvar,25,0.9849290055707159,0.9331005042853343,0.05182850128538148,3.609596829753269e-05,0.00833359624822389,0.015430793144437132,1.5497207641601562e-06,0.0632828302969445,0.08267022602658591,0.0010954325433065785,0.013476284743894507,0.9854282827127989,0.0002739469498357325,0.04481632483260356,0.9549097282175607,0.0017326064782815691,0.4250134086594184,0.7869704503662938,8.213520050048828e-05,True,False
attention,raw1d,25,0.9849290055707159,0.9636076596412728,0.021321345929443142,0.00635326434251383,0.2495902525782852,0.2951614846566141,0.0009765625,0.032803093607220536,0.05223689768882572,0.04793340949810509,0.22050783108372907,0.7315587594181658,0.01566444247539355,0.4554923143673988,0.5288432431572077,0.19695119461792873,1.0,1.0,0.0341796875,False,False
attention,raw1d_wide,25,0.9849290055707159,0.9729548478665017,0.011974157704214386,0.021553118053453273,0.3979241330363505,0.44262863789611084,0.012725830078125,0.020814063210968275,0.035776331720897156,0.0636577785045179,0.3805135805561598,0.5558286409393223,0.015281260044182312,0.7000262510127002,0.28469248894311755,0.5388279513363318,1.0,1.0,0.369049072265625,False,False
attention,score,25,0.9849290055707159,0.9814072839989513,0.0035217215717646467,0.21930264967931878,0.7328980932326876,0.7568568577712739,0.79052734375,0.010002770739705798,0.02097248051801717,0.09871377504592385,0.6356110672490445,0.26567515770503175,0.015026852146581584,0.9253405965526766,0.059632551300741715,1.0,1.0,1.0,1.0,False,False
attention,shallow,25,0.9849290055707159,0.9643710512662587,0.020557954304457213,0.007842620862387748,0.2649689519205059,0.3108625969080398,0.006610751152038574,0.03200246108969414,0.05137323189189218,0.051353674077274154,0.2302588254312481,0.7183875004914777,0.01687936862223566,0.4708922845551624,0.5122283468226019,0.23527862587163242,1.0,1.0,0.19832253456115723,False,False
attention,spec2d,25,0.9849290055707159,0.9785084823523306,0.006420523218385394,0.09637938671371737,0.561583705433883,0.5982962847991521,0.332305908203125,0.013350803063747517,0.025080872781804223,0.07261931408518217,0.5545720644708315,0.3728086214439863,0.011667945067791953,0.8757634727006597,0.11256858223154835,1.0,1.0,1.0,1.0,False,False
attention,spec2d_wide,25,0.9849290055707159,0.9842666124072206,0.0006623931634954117,0.5693593813389335,0.9550105155244294,0.9591893153268592,1.0,0.00804531703127019,0.020541524056742456,0.1839660588633184,0.6012856596903702,0.2147482814463114,0.04401437637924362,0.9014550531085126,0.054530570512243755,1.0,1.0,1.0,1.0,False,False
early,gated,25,0.9233713380485262,0.9871302973727826,-0.06375895932425645,3.0184857618304604e-05,0.01514825242622276,0.026014800565890672,2.9802322387695312e-06,0.07924590599394436,0.1054588394120426,0.9813847500124993,0.01570000811009607,0.002915241877404678,0.9574001368711331,0.04152233745939769,0.0010775256694691869,0.0015092428809152301,0.7398804423999993,1.0,0.00014901161193847656,True,False
early,late,25,0.9233713380485262,0.9843549741348742,-0.060983636086348054,3.420579052055336e-05,0.015099600865306107,0.025941908674610995,3.5881996154785156e-05,0.07578842707374527,0.10084675578750484,0.9806859857800974,0.01653669881689864,0.0027773154030040015,0.9543363133795358,0.04468555150399508,0.0009781351164690854,0.0016760837355071145,0.7398804423999993,1.0,0.0016864538192749023,True,False
early,logvar,25,0.9233713380485262,0.9331005042853343,-0.009729166236808312,0.3673204460915974,0.6868411151910858,0.7145331379479087,0.42435622215270996,0.024878505320003373,0.050520010077892974,0.4955152531443008,0.2964305997339069,0.20805414712179232,0.335233594437785,0.5525376540610307,0.11222875150118429,1.0,1.0,1.0,1.0,False,False
