model,mean_diff,identical,p_naive_wilcoxon,p_corrected,delta_min_corrected,p_naive_holm,p_corrected_holm
attention,-0.0006591177567896578,False,0.6682351417952492,0.9617916927389835,0.02395429982211766,1.0,1.0
early,0.06189111613012849,False,5.960464477539063e-08,0.009560080807897992,0.09948961357731717,4.172325134277344e-07,0.06692056565528594
gated,0.001211962752070943,False,0.5429424906845058,0.9347541291837668,0.026276405695959976,1.0,1.0
late,0.003132380034681117,False,0.5485062355001472,0.7765005727579891,0.02179886574822151,1.0,1.0
logvar,0.0,True,,,,,
raw1d,0.0,True,,,,,
raw1d_wide,0.0,True,,,,,
score,-0.0007375884071391159,False,0.6434848359969145,0.9411034436042515,0.017639725800484913,1.0,1.0
shallow,0.0,True,,,,,
spec2d,0.00436981937793421,False,0.39136593830755195,0.7224402906724692,0.02517195400224229,1.0,1.0
spec2d_wide,-0.002457863413207706,False,0.5633423630007264,0.8973451275909271,0.03470830229580944,1.0,1.0
