model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,gated,15,0.966288045864596,0.9730689543657846,-0.0067809085011885616,0.5936182407945829,0.6442036072001834,0.6727873860233778,0.79052734375,0.018391136544212247,0.03208481387668968,0.4129703236463009,0.4558839406346021,0.131145735719097,0.18654357750721604,0.7717515892733504,0.041704833219433475,1.0,1.0,1.0,1.0,False,False
attention,late,15,0.966288045864596,0.969437537054351,-0.0031494911897549014,0.43262594902013973,0.8041810354009475,0.8207132179339505,0.4239501953125,0.013222132839712008,0.02510230471308581,0.2956176837346728,0.5497371792976347,0.1546451369676925,0.09891582805837004,0.8588715305286261,0.042212641413003855,1.0,1.0,1.0,1.0,False,False
attention,logvar,15,0.966288045864596,0.6390627009505595,0.3272253449140364,6.103515625e-05,2.7484943311687937e-08,8.494585094069265e-08,6.103515625e-05,0.3512077753445562,0.3794938402476017,9.382067594174136e-09,1.0940220285249325e-08,0.9999999796777121,6.4640223356591835e-09,2.388891984228536e-08,0.9999999696470578,0.00274658203125,1.0169429025324537e-06,3.142996484805628e-06,0.00274658203125,True,True
attention,raw1d,15,0.966288045864596,0.956320173218552,0.00996787264604384,0.244198530761502,0.48895626084400773,0.5265489060069852,0.30175781249999994,0.02130283468275931,0.034671849669500196,0.08822707234164805,0.41267057318885825,0.4991023544694937,0.025383271149407957,0.7315125352094536,0.24310419364113847,1.0,1.0,1.0,1.0,False,False
attention,raw1d_wide,15,0.966288045864596,0.9633883336074447,0.002899712257151147,0.5302845968336095,0.854029083205188,0.8664638847043071,0.7744140625,0.015403857456152099,0.030151864906053365,0.209221131966105,0.46410142380751596,0.326677444226379,0.08050988093804515,0.7756363311327943,0.14385378792916056,1.0,1.0,1.0,1.0,False,False
attention,score,15,0.966288045864596,0.9643071870885576,0.0019808587760383745,0.5300566762898097,0.8981880516943785,0.9069103844401571,0.79052734375,0.014267146095490678,0.028758201184437282,0.2219020066159814,0.4750342922087491,0.30306370117526954,0.0851210788325795,0.7870510179101959,0.12782790325722465,1.0,1.0,1.0,1.0,False,False
attention,shallow,15,0.966288045864596,0.9550189828465289,0.011269063018067212,0.12054443359375,0.4986200158872151,0.535761336145722,0.30175781249999994,0.024378638796497425,0.039840721023500135,0.10545468152887433,0.3639207080765672,0.5306246103945584,0.03722165603861686,0.6633397302958954,0.2994386136654878,1.0,1.0,1.0,1.0,False,False
attention,spec2d,15,0.966288045864596,0.9600509216392045,0.006237124225391489,0.4703377962613965,0.707168445721341,0.7312571313502865,0.4239501953125,0.019383307500008114,0.03488856641905073,0.16757207115270964,0.4222207129852818,0.41020721586200853,0.06453726454373135,0.729587626786316,0.20587510866995268,1.0,1.0,1.0,1.0,False,False
attention,spec2d_wide,15,0.966288045864596,0.9654523379915658,0.0008357078730299783,0.7298909084206947,0.9627487662637912,0.9659548188339034,1.0,0.015039978270749018,0.03179319748822178,0.27373216953912133,0.4211481417776344,0.30511968868324435,0.12778827609500143,0.7252248424159353,0.14698688148906325,1.0,1.0,1.0,1.0,False,False
gated,late,15,0.9730689543657846,0.969437537054351,0.00363141731143366,0.421578895217645,0.7710472764443099,0.7902313536124905,1.0,0.013522386459949765,0.02518828479746378,0.1420697428176259,0.5524540202353296,0.3054762369470445,0.03700634974659116,0.8617858747499548,0.10120777550345407,1.0,1.0,1.0,1.0,False,False
gated,logvar,15,0.9730689543657846,0.6390627009505595,0.33400625341522494,6.103515625e-05,1.069374011605146e-10,3.5517971719270617e-10,6.103515625e-05,0.3500109791816598,0.36888774453271056,3.600875638211245e-11,4.42598180327991e-11,0.9999999999197314,2.4503812870979987e-11,9.739564710287141e-11,0.9999999998781005,0.00274658203125,4.812183052223157e-09,1.598308727367178e-08,0.00274658203125,True,True
gated,raw1d,15,0.9730689543657846,0.956320173218552,0.0167487811472324,0.008774633060101173,0.19032942601736857,0.2290365158148604,0.00341796875,0.026583083726396638,0.038182146708621564,0.02263015910631102,0.2713334172105336,0.7060364236831553,0.004591269568929324,0.5987928231163265,0.39661590731474416,0.2983375240434399,1.0,1.0,0.11962890625,False,False
gated,raw1d_wide,15,0.9730689543657846,0.9633883336074447,0.009680620758339708,0.05553298081594267,0.3470762461055218,0.3889300994406561,0.1795654296875,0.017721233389640066,0.027204729710337175,0.03397392279323986,0.4786033949646328,0.48742268224212737,0.004938063633085559,0.8364439968050447,0.15861793956186976,1.0,1.0,1.0,1.0,False,False
gated,score,15,0.9730689543657846,0.9643071870885576,0.008761767277226936,0.15793931050013033,0.40050825496631,0.44134061433836064,0.7744140625,0.01692786143505113,0.026559356875923708,0.0422572125402803,0.5056361554171924,0.45210663204252727,0.006471221522491411,0.8511301305503396,0.142398647927169,1.0,1.0,1.0,1.0,False,False
gated,shallow,15,0.9730689543657846,0.9550189828465289,0.018049971519255772,0.00115966796875,0.12654352255301057,0.15979725877177653,0.0009765625,0.027028864040157245,0.037619014081017116,0.012140933953463611,0.22819425711897467,0.7596648089275617,0.002053124331635643,0.5663516507638404,0.431595224904524,0.041748046875,1.0,1.0,0.03515625,True,False
gated,spec2d,15,0.9730689543657846,0.9600509216392045,0.01301803272658005,0.015906444101703374,0.22972482699344654,0.270331371321716,0.09228515625,0.021395180869027294,0.03127560382057855,0.02169690396338847,0.36590588606667496,0.6123972099699365,0.0033058061505410142,0.7409122251466029,0.2557819687028561,0.5249126553562113,1.0,1.0,1.0,False,False
gated,spec2d_wide,15,0.9730689543657846,0.9654523379915658,0.0076166163742185395,0.3626859408352129,0.5875620695286641,0.6198243210336788,0.79052734375,0.018704562605924326,0.03178223493192761,0.10999500839356911,0.45771603952966106,0.4322889520767698,0.03188825118580252,0.777099383306897,0.1910123655073005,1.0,1.0,1.0,1.0,False,False
late,logvar,15,0.969437537054351,0.6390627009505595,0.33037483610379126,6.103515625e-05,1.225258573266482e-09,3.969241754389772e-09,6.103515625e-05,0.3494010799544803,0.37184157321394906,4.1387552441527346e-10,5.02561880999508e-10,0.9999999990835626,2.82424541774832e-10,1.1037429858973269e-09,0.9999999986138325,0.00274658203125,5.0235601503925764e-08,1.6273891192998067e-07,0.00274658203125,True,True
late,raw1d,15,0.969437537054351,0.956320173218552,0.013117363835798741,0.007132413699395206,0.15928581392534505,0.19576669982693207,0.0224609375,0.020248107492876217,0.028658459332545922,0.010089020266606928,0.35447500652904973,0.6354359732043433,0.0010697517610854066,0.7747487456788608,0.2241815025600539,0.2496344794788322,1.0,1.0,0.763671875,False,False
late,raw1d_wide,15,0.969437537054351,0.9633883336074447,0.006049203446906048,0.42120361328125,0.6570836326287357,0.684779705100505,0.6072387695312499,0.016827124568291704,0.02953913794169237,0.12438958179041162,0.4899112547376494,0.385699163471939,0.03553944819806827,0.8078292194062323,0.1566313323956994,1.0,1.0,1.0,1.0,False,False
