model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,gated,15,0.9681198830565413,0.9703213335332959,-0.002201450476754663,0.6378701798979456,0.8950761208529284,0.9040620791119471,0.7744140625,0.015448480165881398,0.031072682335247896,0.32079322725325443,0.44472145209706515,0.23448532064968042,0.14795239234184976,0.7535170319200646,0.09853057573808566,1.0,1.0,1.0,1.0,False,False
attention,late,15,0.9681198830565413,0.9777823998402557,-0.009662516783714407,0.3302973322315159,0.49146825880412875,0.5289452407431671,1.0,0.02071516583529917,0.03375120692085373,0.490330835005127,0.4234189464956076,0.08625021849926544,0.23113315738319332,0.7449637929400683,0.0239030496767384,1.0,1.0,1.0,1.0,False,False
attention,logvar,15,0.9681198830565413,0.6390627009505595,0.3290571821059816,6.103515625e-05,2.3425912477467466e-09,7.526906111479755e-09,6.103515625e-05,0.34896965344527675,0.3724554072480504,7.920127233532982e-10,9.583279725333682e-10,0.9999999982496593,5.40891117660058e-10,2.103486052007497e-09,0.9999999973556228,0.00274658203125,9.136105866212312e-08,2.935493383477104e-07,0.00274658203125,True,True
attention,raw1d,15,0.9681198830565413,0.956320173218552,0.011799709837989081,0.06403929052055472,0.34007272850259274,0.38199784747339915,0.4239501953125,0.021454525531537115,0.032841892801332304,0.04472625809735039,0.39647707832529666,0.5587966635773529,0.009298579995966174,0.7388642579782392,0.2518371620257947,1.0,1.0,1.0,1.0,False,False
attention,raw1d_wide,15,0.9681198830565413,0.9633883336074447,0.0047315494490963875,0.39672623294506304,0.7209843669972034,0.7440385809253374,0.4239501953125,0.015224106446697337,0.027599547255037927,0.13779119188473085,0.516689788829674,0.3455190192855952,0.038775859700436136,0.8316188063945216,0.1296053339050422,1.0,1.0,1.0,1.0,False,False
attention,score,15,0.9681198830565413,0.9643071870885576,0.0038126959679836148,0.421578895217645,0.7379542058077748,0.7597169659907114,0.266845703125,0.012840850241613447,0.023489102030707264,0.11832093437193149,0.5874693014972971,0.2942097641307714,0.025622307692259243,0.8896933178124162,0.08468437449532451,1.0,1.0,1.0,1.0,False,False
attention,shallow,15,0.9681198830565413,0.9550189828465289,0.013100900210012452,0.04791259765625,0.3456498216021758,0.38751945270016713,0.11846923828124999,0.02394916273037861,0.036744140229650425,0.053640703297699925,0.35668663912008736,0.5896726575822128,0.013600207227719426,0.6787485384314529,0.3076512543408277,1.0,1.0,1.0,1.0,False,False
attention,spec2d,15,0.9681198830565413,0.9600509216392045,0.008068961417336729,0.24886387493792206,0.5346243886407831,0.5699400479294321,0.266845703125,0.018311453518909167,0.030391955417720627,0.08794027423836931,0.47152169365267116,0.4405380321089596,0.021937829399716766,0.7968247653520371,0.18123740524824616,1.0,1.0,1.0,1.0,False,False
attention,spec2d_wide,15,0.9681198830565413,0.9654523379915658,0.0026675450649752187,0.9749599188317098,0.8718257724203067,0.8827722571622972,1.0,0.015786601652583585,0.031259866014963424,0.22409459597523965,0.4466982981945282,0.32920710583023216,0.09217956519678339,0.755958136863097,0.1518622979401196,1.0,1.0,1.0,1.0,False,False
gated,late,15,0.9703213335332959,0.9777823998402557,-0.007461066306959744,0.24112136827741826,0.5150212241484747,0.5513582439284257,0.75390625,0.01648799506541814,0.02713480142129036,0.41173793506828205,0.518103155068751,0.07015890986296691,0.14025388598790073,0.845951148561954,0.013794965450145295,1.0,1.0,1.0,1.0,False,False
