model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,gated,15,0.9605957098143255,0.9771657203706234,-0.0165700105562979,0.06403014843302322,0.3563721536474039,0.39810770034739007,0.09228515625,0.030609841695685848,0.047169113116781694,0.6445136492418544,0.28126436132868793,0.07422198942945767,0.4231632102186028,0.5499204735416852,0.026916316239712006,1.0,1.0,1.0,1.0,False,False
attention,late,15,0.9605957098143255,0.9688555680109715,-0.008259858196646023,0.5994873046875,0.6287390824087702,0.6583648643651031,1.0,0.021763298324542074,0.03768992365047144,0.45926663009751784,0.39426914557098824,0.14646422433149386,0.24690659439486023,0.6966363446170117,0.05645706098812792,1.0,1.0,1.0,1.0,False,False
attention,logvar,15,0.9605957098143255,0.6390627009505595,0.3215330088637659,6.103515625e-05,9.924610200724922e-09,3.122091552666035e-08,6.103515625e-05,0.34328704934120574,0.36894484089119267,3.34694221298856e-09,4.0868300965613e-09,0.9999999925662277,2.279836630476545e-09,8.977526610998154e-09,0.9999999887426367,0.00274658203125,3.672105774268221e-07,1.155173874486433e-06,0.00274658203125,True,True
attention,raw1d,15,0.9605957098143255,0.956320173218552,0.004275536595773296,0.42120361328125,0.7164762473404899,0.7398697324760657,0.11846923828124999,0.013598715287999788,0.024594933471766778,0.1181420119279505,0.5681328759088535,0.313725112163196,0.02695458546962172,0.8758459634183404,0.09719945111203791,1.0,1.0,1.0,1.0,False,False
attention,raw1d_wide,15,0.9605957098143255,0.9633883336074447,-0.0027926237931193976,0.8752911852109797,0.8468932933739933,0.8599214485445068,1.0,0.014266467680836918,0.027799286793380656,0.3098038453358165,0.49879083011042763,0.19140532455375586,0.12278964112512251,0.8118471255515619,0.0653632333233156,1.0,1.0,1.0,1.0,False,False
attention,score,15,0.9605957098143255,0.9517236733114381,0.008872036502887341,0.1353759765625,0.49258422433307847,0.5300094470071227,0.11846923828124999,0.019047130125528052,0.031048138923965365,0.07805518354928892,0.4570026488703749,0.46494216758033624,0.01892002774313931,0.7852219569179355,0.1958580153389252,1.0,1.0,1.0,1.0,False,False
attention,shallow,15,0.9605957098143255,0.9550189828465289,0.005576726967796667,0.42120361328125,0.7749798920489159,0.7938526626265798,0.6072387695312499,0.02104003580682719,0.03927822724884332,0.21461674580677867,0.37511948633593956,0.41026376785728175,0.1013202980163512,0.6669470910982984,0.2317326108853503,1.0,1.0,1.0,1.0,False,False
attention,spec2d,15,0.9605957098143255,0.9368193931550242,0.023776316659301435,0.01507568359375,0.20742334967622497,0.247069569083284,0.11846923828124999,0.03831295271610835,0.055458180434626914,0.04070309724245237,0.18753169800092095,0.7717652047566267,0.014468702237456417,0.40390112247384147,0.5816301752887021,0.422119140625,1.0,1.0,1.0,False,False
attention,spec2d_wide,15,0.9605957098143255,0.9623672883766428,-0.0017715785623173997,0.803955078125,0.9202616283089667,0.9271069653407141,1.0,0.01581809221299205,0.03238524531849509,0.32160906800133815,0.42375159577571797,0.2546393362229439,0.15603206221032165,0.7285312328267556,0.11543670496292277,1.0,1.0,1.0,1.0,False,False
gated,late,15,0.9771657203706234,0.9688555680109715,0.008310152359651875,0.04798974969495946,0.4126506158498025,0.45314343773992116,0.1795654296875,0.016263625979904044,0.025644346240049777,0.04197626987017197,0.5249599098467275,0.4330638202831006,0.006096801716097564,0.8665651026691614,0.12733809561474096,0.9597949938991892,1.0,1.0,1.0,False,False
