model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected
attention,gated,15,0.9711599847383527,0.9733354171885852,-0.0021754324502325064,0.7536837177261574,0.8869200277631833,0.8965956217182055,0.7744140625,0.014315386503639796,0.028633848899247177,0.3052974849590456,0.4790965248164551,0.2156059902244994,0.12757290724961823,0.791413328264273,0.08101376448610875,1.0,1.0,1.0,1.0,False,False
attention,late,15,0.9711599847383527,0.9750879136649644,-0.0039279289266115494,0.8613042569883052,0.7638898622506666,0.783637976247492,1.0,0.01429167311284242,0.02651518571885532,0.3215816944400822,0.5305213469858248,0.14789695857409302,0.11531759359441553,0.8431062600505072,0.04157614635507738,1.0,1.0,1.0,1.0,False,False
attention,logvar,15,0.9711599847383527,0.6390627009505595,0.33209728378779313,6.103515625e-05,1.1822769546040465e-08,3.708574781442439e-08,6.103515625e-05,0.35487510722036414,0.38174039903598805,4.04016594878625e-09,4.6927206565072765e-09,0.9999999912671134,2.786822078886148e-09,1.0244637693723746e-08,0.9999999869685402,0.00274658203125,4.374424732034972e-07,1.3721726691337025e-06,0.00274658203125,True,True
attention,raw1d,15,0.9711599847383527,0.956320173218552,0.014839811519800664,0.0301513671875,0.21525976582364664,0.2552759843913753,0.03515625,0.024079072592489106,0.034976314184219724,0.023731977971632158,0.3155104602323039,0.6607575617960639,0.004347383857284174,0.6663290885580253,0.3293235275846906,0.663330078125,1.0,1.0,1.0,False,False
attention,raw1d_wide,15,0.9711599847383527,0.9633883336074447,0.007771651130907971,0.1401460614684125,0.5845734038983437,0.6170186274818837,0.057373046875,0.01899440855543097,0.03223108387159124,0.11072122303778638,0.4518741068390383,0.4374046701231753,0.03265462179797966,0.7706336936495134,0.19671168455250698,1.0,1.0,1.0,1.0,False,False
attention,score,15,0.9711599847383527,0.9762822544986872,-0.005122269760334423,0.5524933360016062,0.6699222495815808,0.6967164150709493,1.0,0.014630084608974232,0.02584407180989262,0.3423598901575744,0.5478787334397077,0.1097613764027179,0.11333509906919792,0.8612217514011603,0.025443149529641804,1.0,1.0,1.0,1.0,False,False
attention,shallow,15,0.9711599847383527,0.9550189828465289,0.016141001891824037,0.02557373046875,0.28449406229582813,0.3263830021730146,0.03515625,0.02786192316190428,0.04168615756256212,0.046523713387252606,0.29268876528399634,0.6607875213287511,0.012934543217323246,0.5900349903437834,0.39703046643889334,0.61376953125,1.0,1.0,1.0,False,False
attention,spec2d,15,0.9711599847383527,0.9757267857622528,-0.004566801023899917,0.6496440323317323,0.6990723568068796,0.7237597716654326,1.0,0.013919268249748297,0.024950030779024558,0.32297691589772143,0.5626635651735536,0.11435951892872492,0.10181693604496629,0.8721408613745476,0.026042202580486028,1.0,1.0,1.0,1.0,False,False
attention,spec2d_wide,15,0.9711599847383527,0.9754427839728589,-0.004282799234506163,0.3739447986092539,0.753428885561377,0.7739952534163275,0.548828125,0.015086735007591456,0.02782943134819755,0.33770472576708843,0.5105796535698042,0.15171562066310745,0.1296683822175711,0.8249411072424131,0.04539051054001587,1.0,1.0,1.0,1.0,False,False
gated,late,15,0.9733354171885852,0.9750879136649644,-0.0017524964763790433,0.9374489089506656,0.891891106091501,0.9011466012538007,0.7744140625,0.011985265084058717,0.024054298613134593,0.26268253408259584,0.552793580395021,0.18452388552238314,0.08577154315816127,0.8603101814001101,0.05391827544172865,1.0,1.0,1.0,1.0,False,False
gated,logvar,15,0.9733354171885852,0.6390627009505595,0.3342727162380258,6.103515625e-05,1.29157744499552e-10,4.2827825145255496e-10,6.103515625e-05,0.35051789107588943,0.36967825395722453,4.3525451057783614e-11,5.333944397278856e-11,0.9999999999031352,2.964078247573305e-11,1.1732748106396684e-10,0.9999999998530318,0.00274658203125,5.81209850247984e-09,1.9272521315364974e-08,0.00274658203125,True,True
gated,raw1d,15,0.9733354171885852,0.956320173218552,0.01701524397003317,0.004741768038406972,0.12929607387115222,0.16286162173703475,0.03857421875,0.02554614251910222,0.03560790630652805,0.011354363827080015,0.24720894904915747,0.7414366871237625,0.0017448900163311181,0.6075022383037045,0.3907528716799643,0.14225304115220916,1.0,1.0,1.0,False,False
gated,raw1d_wide,15,0.9733354171885852,0.9633883336074447,0.009947083581140477,0.03924327615032667,0.32119824306554895,0.36323525888825936,0.266845703125,0.017763696287156516,0.026982996014300445,0.029124111141122417,0.4730198648689993,0.49785602398987827,0.003946090912785467,0.8379242322288725,0.15812967685834206,0.8241087991568601,1.0,1.0,1.0,False,False
gated,score,15,0.9733354171885852,0.9762822544986872,-0.0029468373101019167,0.6566419342620566,0.7211683861170938,0.7442087163796779,1.0,0.009486186556873827,0.017199018571700704,0.19905259685227908,0.7349888186057336,0.06595858454198729,0.02679399909037248,0.9665987442091819,0.006607256700445638,1.0,1.0,1.0,1.0,False,False
gated,shallow,15,0.9733354171885852,0.9550189828465289,0.018316434342056542,0.00836181640625,0.16417594098811622,0.20105645462506683,0.03515625,0.028398878578715044,0.04029061210779579,0.0197789208938653,0.23815521071635126,0.7420658683897834,0.004146680104551155,0.5485647481723974,0.44728857172305153,0.234130859375,1.0,1.0,1.0,False,False
gated,spec2d,15,0.9733354171885852,0.9757267857622528,-0.002391368573667411,0.813875058383029,0.7761558391178186,0.7949353326924212,0.7744140625,0.009058128087368812,0.016921234074223798,0.18599243316810485,0.7363612774715791,0.07764628936031603,0.025482086605588063,0.9661276486105244,0.008390264783887559,1.0,1.0,1.0,1.0,False,False
gated,spec2d_wide,15,0.9733354171885852,0.9754427839728589,-0.0021073667842736567,0.789675102094056,0.8815750439389548,0.8917015032621097,0.548828125,0.013332616047888015,0.026572230362348327,0.28944371030913457,0.5115059875286627,0.1990503021622028,0.10928840787792769,0.8238122219348909,0.06689937018718142,1.0,1.0,1.0,1.0,False,False
late,logvar,15,0.9750879136649644,0.6390627009505595,0.3360252127144048,6.103515625e-05,1.9702698323676113e-09,6.344949445456678e-09,6.103515625e-05,0.3560915461603443,0.379758772543525,6.710455574023955e-10,7.897847931204183e-10,0.9999999985391697,4.6149742286032603e-10,1.7276563513135557e-09,0.9999999978108463,0.00274658203125,7.684052346233684e-08,2.474530283728104e-07,0.00274658203125,True,True
late,raw1d,15,0.9750879136649644,0.956320173218552,0.018767740446412214,0.0057299829908913835,0.17349860075753476,0.21108832369533648,0.012939453125,0.02934367182604474,0.041817448505231655,0.022624429412744812,0.2342625072756479,0.7431130633116073,0.005145275759861792,0.5316970397954055,0.46315768444473276,0.16616950673585013,1.0,1.0,0.401123046875,False,False
late,raw1d_wide,15,0.9750879136649644,0.9633883336074447,0.011699580057519521,0.027707849358079864,0.2985766190378228,0.3405829260008108,0.266845703125,0.020457549176872702,0.03078713122847473,0.03250523702876442,0.4063040495435013,0.5611907134277343,0.0055393455615158965,0.7662398066381534,0.2282208478003307,0.6372805352358368,1.0,1.0,1.0,False,False
late,score,15,0.9750879136649644,0.9762822544986872,-0.0011943408337228734,0.5759870294965579,0.8609494113349907,0.8728068644380591,0.5810546875,0.006604055213859961,0.012984539981941046,0.10474674513567661,0.8369250413658595,0.05832821349846382,0.006961079282636537,0.9896052866828208,0.0034336340345426744,1.0,1.0,1.0,1.0,False,False
late,shallow,15,0.9750879136649644,0.9550189828465289,0.020068930818435585,0.00201416015625,0.1096435200619718,0.14079469807778536,0.03515625,0.029562818421532154,0.040760379140051345,0.011346603093679821,0.19156647686610406,0.7970869200402161,0.002110730874500461,0.4955898556575786,0.502299413467921,0.0684814453125,1.0,1.0,1.0,False,False
late,spec2d,15,0.9750879136649644,0.9757267857622528,-0.0006388720972883676,0.700703412251682,0.9228262780449177,0.929452811854567,0.5810546875,0.005873321926341712,0.012047091012227005,0.08519774622306966,0.8534308756006351,0.061371378176295274,0.004879497127746531,0.9918223994178827,0.0032981034543707595,1.0,1.0,1.0,1.0,False,False
late,spec2d_wide,15,0.9750879136649644,0.9754427839728589,-0.00035487030789461326,0.6948866023724733,0.9750649446084745,0.9772118337987405,0.3876953125,0.009367700705507662,0.019997878757128006,0.2008514031462326,0.614703110212195,0.18444548664157234,0.04998338946408457,0.9053237201634436,0.04469289037247184,1.0,1.0,1.0,1.0,False,False
logvar,raw1d,15,0.6390627009505595,0.956320173218552,-0.3172574722679926,6.103515625e-05,4.43173658092299e-10,1.4522041637698321e-09,6.103515625e-05,0.33417239478484073,0.35412269121237344,0.9999999996615746,1.9162469379325527e-10,1.46800705022645e-10,0.9999999994766849,4.249690326641376e-10,9.834602529008354e-11,0.00274658203125,1.8613293639876558e-08,6.099257487833294e-08,0.00274658203125,True,True
logvar,raw1d_wide,15,0.6390627009505595,0.9633883336074447,-0.32432563265688524,6.103515625e-05,4.762373024952182e-10,1.5593659399793677e-09,6.103515625e-05,0.3417116179249246,0.3622175090655205,0.9999999996398037,2.0100411887983778e-10,1.591921983374495e-10,0.9999999994486614,4.437706779966584e-10,1.075679634113362e-10,0.00274658203125,1.9525729402303945e-08,6.393400353915408e-08,0.00274658203125,True,True
logvar,score,15,0.6390627009505595,0.9762822544986872,-0.3372195535481276,6.103515625e-05,1.7048167647239352e-10,5.638972130010665e-10,6.103515625e-05,0.35395215977188293,0.37368742334383226,0.9999999998727023,6.960865418101742e-11,5.768907373329318e-11,0.9999999998077547,1.5280576396411869e-10,3.9439566801553727e-11,0.00274658203125,7.501193764785314e-09,2.4811477372046926e-08,0.00274658203125,True,True
logvar,shallow,15,0.6390627009505595,0.9550189828465289,-0.3159562818959692,6.103515625e-05,1.6316879850579649e-09,5.267240650685752e-09,6.103515625e-05,0.33455412069523505,0.35648933184309906,0.9999999987581019,6.997854792750223e-10,5.42112660605937e-10,0.9999999980866903,1.5491509121699068e-09,3.6415882070060944e-10,0.00274658203125,6.52675194023186e-08,2.1068962602743006e-07,0.00274658203125,True,True
logvar,spec2d,15,0.6390627009505595,0.9757267857622528,-0.33666408481169313,6.103515625e-05,1.9897754105484194e-10,6.572105363081646e-10,6.103515625e-05,0.35356388905411806,0.3734963542408683,0.9999999998513923,8.129059902725718e-11,6.731708268861606e-11,0.9999999997755243,1.7846385772411706e-10,4.6011802557935964e-11,0.00274658203125,8.556034265358204e-09,2.8260053061251077e-08,0.00274658203125,True,True
logvar,spec2d_wide,15,0.6390627009505595,0.9754427839728589,-0.3363800830222994,6.103515625e-05,2.4962152689734764e-09,8.013744291786849e-09,6.103515625e-05,0.35683508562671407,0.38096072764355177,0.9999999981518217,9.968871828070702e-10,8.512910942792063e-10,0.999999997234579,2.17924701908179e-09,5.861739842216688e-10,0.00274658203125,9.48561802209921e-08,3.0452228308790026e-07,0.00274658203125,True,True
raw1d,raw1d_wide,15,0.956320173218552,0.9633883336074447,-0.007068160388892694,0.072998046875,0.4569271272800293,0.4958875942751148,0.11846923828124999,0.014534154402017345,0.02333991709703771,0.37782990808655764,0.5792150922464026,0.04295499966703972,0.09167265851979384,0.9028409911073727,0.005486350372833497,1.0,1.0,1.0,1.0,False,False
raw1d,score,15,0.956320173218552,0.9762822544986872,-0.01996208128013509,0.002217721464237049,0.05732136537385432,0.07926770760193522,0.00048828125,0.02775166742855218,0.03693909069661225,0.8405607902440618,0.15558834898843713,0.003850860767501036,0.49845834046335724,0.5010469751309848,0.0004946844056578919,0.07318480831982262,1.0,1.0,0.017578125,False,False
raw1d,shallow,15,0.956320173218552,0.9550189828465289,0.0013011903720233716,0.7197265625,0.9244991842977128,0.9309829214031691,1.0,0.012199224685866922,0.025052905500664704,0.20804333056377047,0.5272978704643073,0.26465879897192224,0.06826143312347323,0.8381160845990071,0.09362248227751964,1.0,1.0,1.0,1.0,False,False
raw1d,spec2d,15,0.956320173218552,0.9757267857622528,-0.01940661254370058,0.002976637011170516,0.07512792071275963,0.1007677001303731,0.00341796875,0.027564361664348155,0.03718601455553086,0.8164000251766943,0.1779283602341456,0.005671614589160096,0.47697760457405625,0.5222274885317982,0.0007949068941455667,0.09525238435745652,1.0,1.0,0.11279296875,False,False
raw1d,spec2d_wide,15,0.956320173218552,0.9754427839728589,-0.019122610754306827,0.011007912955186742,0.17885341505928337,0.21682065125264835,0.012939453125,0.030042115791476785,0.04292112023956042,0.7447133771251262,0.23077336974164722,0.024513253133226574,0.47457196096330223,0.5195542757047564,0.0058737633319413795,0.29721364979004206,1.0,1.0,0.401123046875,False,False
raw1d_wide,score,15,0.9633883336074447,0.9762822544986872,-0.012893920891242394,0.01507568359375,0.2045532689909666,0.24405472269960707,0.11846923828124999,0.02072445230730101,0.029960168449652373,0.6152086114184229,0.36821767159296465,0.016573716988612475,0.2377151097692603,0.7601059971608499,0.0021788930698898694,0.3919677734375,1.0,1.0,1.0,False,False
raw1d_wide,shallow,15,0.9633883336074447,0.9550189828465289,0.008369350760916066,0.389404296875,0.5646963885511497,0.5983274124200677,1.0,0.019836249636044863,0.03336087745715939,0.10820140343526304,0.4367291710765142,0.4550694254882227,0.032681685875195356,0.7542528704618444,0.2130654436629602,1.0,1.0,1.0,1.0,False,False
raw1d_wide,spec2d,15,0.9633883336074447,0.9757267857622528,-0.012338452154807888,0.01507568359375,0.20848319590611117,0.2481816027606841,0.11846923828124999,0.019900727103057094,0.028820048296151667,0.5968525873204771,0.38733026336921417,0.015817149310308733,0.2133224361448213,0.784747846967692,0.0019297168874867284,0.3919677734375,1.0,1.0,1.0,False,False
raw1d_wide,spec2d_wide,15,0.9633883336074447,0.9754427839728589,-0.012054450365414134,0.08428387967828298,0.39539724465680737,0.4363613416587468,0.1795654296875,0.023165139018732763,0.036269634881894094,0.5583279761097708,0.37617405734609366,0.06549796654413553,0.28624663618687207,0.6961629255384064,0.017590438274721492,1.0,1.0,1.0,1.0,False,False
score,shallow,15,0.9762822544986872,0.9550189828465289,0.02126327165215846,0.0001220703125,0.018131218339379963,0.028349109967561577,0.0009765625,0.027687753415548466,0.03526510503777697,0.0007510571504371543,0.08844985634525193,0.910799086504311,6.846427652342953e-05,0.43793673502042907,0.5619948007030475,0.00439453125,0.6527238602176787,1.0,0.0341796875,True,False
score,spec2d,15,0.9762822544986872,0.9757267857622528,0.0005554687364345057,0.31731050786291415,0.6533976653313036,0.6813495657092877,1.0,0.0015338214520226718,0.0026877390456282093,2.4794827411463525e-07,0.9999988357218612,9.163298646110251e-07,4.8857588071897534e-11,0.9999999998485125,1.0262995638407671e-10,1.0,1.0,1.0,1.0,False,False
score,spec2d_wide,15,0.9762822544986872,0.9754427839728589,0.0008394705258282601,0.5301263536036207,0.9348003198899055,0.9404035842741936,0.3876953125,0.008984688748270136,0.01859156207818333,0.15017709733018555,0.6604259603839012,0.18939694228591317,0.028839202999802423,0.9321203206217757,0.039040476378421736,1.0,1.0,1.0,1.0,False,False
shallow,spec2d,15,0.9550189828465289,0.9757267857622528,-0.020707802915723952,0.0001220703125,0.01954344675349423,0.030325055634916397,0.0009765625,0.02705559055354087,0.03454248532987431,0.902832504310166,0.09638137038989254,0.0007861252999414132,0.5352623372225285,0.46466818803540316,6.947474206839061e-05,0.00439453125,0.684020636372298,1.0,0.0341796875,True,False
shallow,spec2d_wide,15,0.9550189828465289,0.9754427839728589,-0.020423801126330198,0.0042724609375,0.13958013523494955,0.17424130062895396,0.00738525390625,0.030961137000118433,0.04338939223032459,0.7813044138217118,0.20116531035524085,0.017530275823047364,0.512735023599312,0.48335064921142545,0.003914327189262541,0.1324462890625,1.0,1.0,0.236328125,False,False
spec2d,spec2d_wide,15,0.9757267857622528,0.9754427839728589,0.00028400178939375444,0.3822067676889094,0.9781091800753884,0.9799940996148528,0.266845703125,0.0085003516781049,0.018191121214225524,0.16446680886574344,0.6578020984704042,0.1777310926638523,0.03293701537485546,0.9306142019499776,0.03644878267516696,1.0,1.0,1.0,1.0,False,False
