model,n_folds,mean_t2,mean_t12,mean_diff,mean_abs_diff,max_abs_diff,n_identical
raw1d,25,0.9510810441478972,0.9616188629423723,0.010537818794475138,0.015241288394328888,0.09337536410337222,11
spec2d_wide,25,0.9654744565908163,0.9701848682997656,0.004710411708949147,0.015927959860332547,0.07009121431178678,8
early,25,0.8963280002736562,0.8886017334191186,-0.007726266854537522,0.019487798255780512,0.06198813238472878,2
late,25,0.9740386418003482,0.9778341080265275,0.0037954662261795004,0.0110808802602496,0.04750945257274364,5
score,25,0.96366912371948,0.9686109282366782,0.0049418045171983225,0.013076541844903193,0.04739860439493382,8
gated,25,0.9730945343347909,0.9728367635567347,-0.00025777077805630986,0.01141230127588374,0.044914899940059816,8
spec2d,25,0.9602389750811936,0.9651728520604483,0.004933876979254652,0.013373199558825188,0.03454799408614684,4
attention,25,0.9687708510050886,0.9693537187651853,0.0005828677600965948,0.01132394564063151,0.03225266505560265,6
raw1d_wide,25,0.962807997503364,0.9646850892529923,0.0018770917496283347,0.00673926461365455,0.020725225996057417,11
logvar,25,0.6459623685293987,0.6459623685293987,0.0,0.0,0.0,25
shallow,25,0.9535919042697746,0.9535919042697746,0.0,0.0,0.0,25
