acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.10731052187430361,0.06392426934024777,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,27075,28.3805044000037,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9986805555555556,0.12027305202450328,0.0668306528737184,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",spec2d,0,0,32227,11.637468899978558,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9972222222222222,0.12607714647964435,0.06049174766107634,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,99795,48.075004199985415,
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9995138888888889,0.059924037114295815,0.032904882992709765,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",spec2d_wide,0,0,97775,17.064708699996118,
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9994444444444444,0.06613490784496841,0.0389660511826157,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",late,0,0,98571,27.725286600005347,
0.95,0.9458346531517262,0.9433719433719433,0.9499999999999998,0.9965972222222222,0.14495150930591963,0.08447052560618631,0.975609756097561,1.0,0.935064935064935,0.9,0.926829268292683,0.95,0.95,"[[40, 0, 0], [2, 36, 2], [0, 1, 19]]",gated,0,0,98698,29.956761099980213,
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9984722222222223,0.09980111093718598,0.05809578200590973,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",attention,0,0,98544,26.065004900010535,
0.84,0.8324856546687532,0.8307013600089919,0.8583333333333334,0.9710416666666667,0.5467562315029825,0.26401827927557925,0.8888888888888888,0.9,0.8169014084507042,0.725,0.7916666666666666,0.95,0.95,"[[36, 2, 2], [4, 29, 7], [1, 0, 19]]",early,0,0,97507,32.52988460002234,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9986805555555556,0.12027305202450328,0.0668306528737184,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",score,0,0,59302,0.0972786000056658,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7473611111111111,0.6516383035776222,0.44588189135649636,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,3,0.07568360000732355,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9971527777777777,0.1196313352540575,0.06174263060902855,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,21,0.03417349999654107,
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9959027777777777,0.09611346566771935,0.036260498898863236,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",raw1d,0,1,27075,22.13817999997991,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9995833333333333,0.08385460121985461,0.042506881431302226,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",spec2d,0,1,32227,12.166234699980123,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9997916666666667,0.05359088249181772,0.030374526804959258,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,0,1,99795,45.79027859997586,
0.97,0.9667682450382872,0.9670731707317074,0.9666666666666667,0.999375,0.06877686820103017,0.03924186056667216,0.9629629629629629,0.975,0.9873417721518988,0.975,0.95,0.95,0.95,"[[39, 0, 1], [1, 39, 0], [1, 0, 19]]",spec2d_wide,0,1,97775,13.064534700009972,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.030194770465751954,0.014644918900316762,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",late,0,1,98571,28.11716080000042,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,1.0,0.012405180792591038,0.008593361982911907,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,1,98698,64.21614699999918,
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,1.0,0.019016746593135327,0.010320196243371082,0.9876543209876543,1.0,1.0,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [1, 0, 19]]",attention,0,1,98544,39.89255960000446,
0.97,0.9659927257167308,0.9757936507936508,0.9583333333333334,0.9944444444444445,0.1237082125176333,0.057516736812594754,0.975609756097561,1.0,0.975,0.975,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [1, 39, 0], [1, 1, 18]]",early,0,1,97507,21.727187199983746,
