model,f1_mean,f1_std,auc_mean,auc_std,acc_mean,recall_ictal_mean,params,sec_mean,n
late,0.9778341080265275,0.01824154120444828,0.9988333333333332,0.001901497440290691,0.9772,0.978,98571,685.9510069840018,25
gated,0.9728367635567345,0.018863616066144638,0.9986305555555556,0.0018427350819649726,0.9732,0.9620000000000001,98698,835.6344642639987,25
spec2d_wide,0.9701848682997656,0.016915460874551643,0.9983555555555556,0.001684620695545436,0.97,0.958,97775,16.341377104000422,25
attention,0.9693537187651853,0.02026777627977416,0.9971194444444444,0.004055971725222275,0.9684,0.9620000000000001,98544,34.908126787998484,25
score,0.9686109282366783,0.019315145296992135,0.9983416666666666,0.0020271474476937722,0.9684,0.9620000000000001,59302,0.0674126879987307,25
spec2d,0.9651728520604483,0.017924626817113123,0.9978472222222221,0.0023080050296908536,0.9656,0.9620000000000001,32227,11.37093737600022,25
raw1d_wide,0.9646850892529922,0.016617271167014898,0.9968083333333333,0.004048303383896281,0.9656,0.94,99795,54.06868967600283,25
raw1d,0.9616188629423723,0.020847487167987795,0.9965694444444445,0.0027333689727802916,0.9616,0.9540000000000001,27075,22.897630551996407,25
shallow,0.9535919042697748,0.0160673550133333,0.99645,0.0022253233570000077,0.9544,0.96,21,0.023893972001969813,25
early,0.8886017334191186,0.044569777602561214,0.977786111111111,0.016596608639673275,0.9,0.828,97507,24.097215256000638,25
logvar,0.6459623685293988,0.04137404361514463,0.7548305555555556,0.01960657112227529,0.598,0.972,3,0.02452572800219059,25
