acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,budget,small,27075.0,86.01302020000003
0.94,0.9372072715725966,0.94541910331384,0.9333333333333332,0.9977083333333333,0.9411764705882353,1.0,0.9473684210526315,0.9,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [3, 36, 1], [2, 0, 18]]",spec2d,0,0,budget,small,32227.0,24.227695400011726
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9968055555555555,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,budget,small,99795.0,187.64309949999733
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9992361111111111,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",spec2d_wide,0,0,budget,small,97775.0,53.029074700010824
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9992361111111111,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",late,0,0,budget,small,73611.0,91.51476459999685
0.95,0.9540957824378634,0.9590964590964591,0.9499999999999998,0.9955555555555554,0.9512195121951219,0.975,0.9367088607594937,0.925,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [3, 37, 0], [0, 1, 19]]",gated,0,0,budget,small,73673.0,72.65264329999627
0.95,0.9498612842266092,0.9629629629629629,0.9416666666666668,0.9960416666666666,0.9411764705882353,1.0,0.961038961038961,0.925,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [3, 37, 0], [2, 0, 18]]",attention,0,0,budget,small,73421.0,106.62773710000329
0.93,0.9236594159194779,0.9354354354354354,0.9166666666666666,0.9980555555555556,0.9411764705882353,1.0,0.935064935064935,0.9,0.8947368421052632,0.85,0.85,"[[40, 0, 0], [3, 36, 1], [2, 1, 17]]",score,0,0,budget,small,,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7508333333333334,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,budget,small,3.0,0.0
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9983333333333334,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,budget,small,21.0,0.0
0.98,0.9791035008694781,0.9841269841269842,0.975,0.9956944444444443,0.975609756097561,1.0,0.9873417721518988,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [1, 0, 19]]",raw1d,0,1,budget,small,27075.0,68.18780729999708
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9995833333333333,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",spec2d,0,1,budget,small,32227.0,25.4011473999999
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9997916666666667,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,0,1,budget,small,99795.0,172.31371610000497
0.96,0.9625929625929626,0.9696969696969697,0.9583333333333334,0.9986805555555556,0.9523809523809523,1.0,0.961038961038961,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [1, 0, 19]]",spec2d_wide,0,1,budget,small,97775.0,36.442906900003436
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,1.0,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,0,1,budget,small,73611.0,74.87606560000859
