acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",raw1d,0,0,stft,coarse,27075.0,85.65088889999606
0.94,0.9367301460324716,0.9565217391304347,0.9249999999999999,0.9974999999999999,0.9302325581395349,1.0,0.961038961038961,0.925,0.918918918918919,0.85,0.85,"[[40, 0, 0], [3, 37, 0], [3, 0, 17]]",spec2d,0,0,stft,coarse,32227.0,33.29132600000594
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9968055555555555,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",raw1d_wide,0,0,stft,coarse,99795.0,187.79599769999913
0.97,0.9706646823040771,0.9755799755799756,0.9666666666666667,0.9997222222222222,0.975609756097561,1.0,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [0, 1, 19]]",spec2d_wide,0,0,stft,coarse,97775.0,69.68716349999886
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9995833333333333,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,0,0,stft,coarse,98571.0,106.95094589999644
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9995833333333333,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",gated,0,0,stft,coarse,98698.0,115.83586289999948
0.92,0.9293968012708365,0.9346764346764346,0.9250000000000002,0.9952777777777778,0.9113924050632911,0.9,0.9024390243902439,0.925,0.9743589743589743,0.95,0.95,"[[36, 4, 0], [3, 37, 0], [0, 1, 19]]",attention,0,0,stft,coarse,98544.0,83.51459479999903
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9979166666666667,0.963855421686747,1.0,0.9487179487179487,0.925,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [3, 37, 0], [0, 1, 19]]",score,0,0,stft,coarse,,0.0
0.6,0.6443989950056684,0.6358799766783275,0.6666666666666666,0.7508333333333334,0.5681818181818182,0.625,0.43478260869565216,0.375,0.9302325581395349,1.0,1.0,"[[25, 14, 1], [23, 15, 2], [0, 0, 20]]",logvar,0,0,stft,coarse,3.0,0.0
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9983333333333334,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",shallow,0,0,stft,coarse,21.0,0.0
